"legis.annee","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien collaborateur",76,14.1791044776119,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Jamais collaborateur",460,85.8208955223881,4.56521739130435,0,51.5195652173913,53,44.3234682997386,42.1052631578947,0,0,71.304347826087,100,27.3913043478261,0,80.4347826086957,100,44.3234682997386,42.1052631578947,39.5652173913044,0,11.8086956521739,10.5
1978,"Total",536,100,3.91791044776119,0,51.205223880597,53,45.9979671308357,44,14.1791044776119,0,72.9477611940299,100,24.4402985074627,0,80.2238805970149,100,44.0491951022096,42.4242424242424,38.9925373134328,0,12.0727611940299,11
1997,"Ancien collaborateur",155,23.7003058103976,11.6129032258065,0,48.9225806451613,48,67.6299724259663,72.4137931034483,100,100,65.1612903225806,100,4.51612903225806,0,90.9677419354839,100,53.2805970426509,56.25,38.7096774193548,0,15.858064516129,15
1997,"Jamais collaborateur",499,76.2996941896024,11.0220440881764,0,53.7454909819639,53,57.9425202322234,58.8235294117647,0,0,78.1563126252505,100,20.0400801603206,0,96.1923847695391,100,57.9425202322234,58.8235294117647,38.0761523046092,0,16.811623246493,16
1997,"Total",654,100,11.1620795107034,0,52.6024464831804,52,60.2384760273765,61.8347338935574,23.7003058103976,0,75.0764525993884,100,16.3608562691131,0,94.954128440367,100,56.8376301796488,58.578637510513,38.2262996941896,0,16.585626911315,16
2007,"Ancien collaborateur",189,29.5774647887324,15.3439153439153,0,51.8941798941799,52,77.7716723185673,83.3333333333333,100,100,49.2063492063492,0,4.76190476190476,0,94.1798941798942,100,61.5114986399159,63.3333333333333,25.3968253968254,0,20.5026455026455,20
2007,"Jamais collaborateur",450,70.4225352112676,20.8888888888889,0,56.2022222222222,57,63.3319491269211,66.6666666666667,0,0,78.2222222222222,100,18.6666666666667,0,97.1111111111111,100,63.3319491269211,66.6666666666667,29.5555555555556,0,19.8933333333333,19.5
2007,"Total",639,100,19.2488262910798,0,54.9280125195618,56,67.6028531695207,70.3703703703704,29.5774647887324,0,69.6400625978091,100,14.5539906103286,0,96.2441314553991,100,62.7935060251309,66.6666666666667,28.3255086071987,0,20.0735524256651,20
2012,"Ancien collaborateur",207,33.2263242375602,18.3574879227053,0,50.9468599033816,51,77.7584559563991,83.3333333333333,100,100,45.8937198067633,0,5.79710144927536,0,94.6859903381642,100,58.9332090138111,59.0909090909091,41.0628019323672,0,19.9371980676328,19
2012,"Jamais collaborateur",416,66.7736757624398,31.0096153846154,0,56.1129807692308,57,56.9306420859797,62.1621621621622,0,0,72.3557692307692,100,23.7980769230769,0,91.8269230769231,100,56.9306420859797,62.1621621621622,41.8269230769231,0,18.4278846153846,18
2012,"Total",623,100,26.8057784911718,0,54.3964686998395,55,63.8620849656852,68,33.2263242375602,0,63.5634028892456,100,17.8170144462279,0,92.776886035313,100,57.5970912082645,60.7142857142857,41.5730337078652,0,18.9293739967897,19
2017,"Ancien collaborateur",145,24.7863247863248,30.3448275862069,0,47.7241379310345,48,70.7771321170838,80,100,100,37.2413793103448,0,3.44827586206897,0,73.7931034482759,100,46.1051365751273,50,57.9310344827586,100,16.5172413793103,16
2017,"Jamais collaborateur",440,75.2136752136752,41.8181818181818,0,49.5909090909091,50,30.6989533816423,21.4285714285714,0,0,78.8636363636364,100,18.1818181818182,0,64.0909090909091,100,30.6989533816423,21.4285714285714,77.0454545454545,100,8.93409090909091,3.5
2017,"Total",585,100,38.974358974359,0,49.1282051282051,50,40.6840666404722,36.0555555555556,24.7863247863248,0,68.5470085470085,100,14.5299145299145,0,66.4957264957265,100,34.5372636274418,27.2727272727273,72.3076923076923,100,10.8136752136752,7
2022,"Ancien collaborateur",189,31.6582914572864,30.6878306878307,0,45.2539682539683,45,69.896738226194,79.1666666666667,100,100,35.4497354497354,0,4.76190476190476,0,68.7830687830688,100,43.9351234212993,47.0588235294118,51.3227513227513,100,13.7142857142857,10
2022,"Jamais collaborateur",408,68.3417085427136,41.1764705882353,0,50.6666666666667,51,39.0271333476492,35.4497354497355,0,0,71.3235294117647,100,25,0,72.5490196078431,100,39.0271333476492,35.4497354497355,50,50,10.2843137254902,8
2022,"Total",597,100,37.85594639866,0,48.9530988274707,50,48.8658438401365,47.0588235294118,31.6582914572864,0,59.9664991624791,100,18.5929648241206,0,71.356783919598,100,40.5913999984416,36.8421052631579,50.4187604690117,100,11.3701842546064,8
2024,"Ancien collaborateur",192,33.2755632582322,30.2083333333333,0,44.9947916666667,44,71.0824964654914,77.7777777777778,100,100,37.5,0,4.16666666666667,0,66.6666666666667,100,48.2079843244502,50,27.0833333333333,0,13.8697916666667,11
2024,"Jamais collaborateur",385,66.7244367417678,38.1818181818182,0,51.9454545454545,53,40.3388231237444,38.6752136752137,0,0,70.6493506493507,100,24.9350649350649,0,71.4285714285714,100,40.3388231237444,38.6752136752137,22.8571428571429,0,10.9454545454545,9
2024,"Total",577,100,35.528596187175,0,49.632582322357,51,50.514925158053,50,33.2755632582322,0,59.6187175043328,100,18.0242634315425,0,69.844020797227,100,42.9435016998099,40.7407407407407,24.263431542461,0,11.9185441941075,10
