"legis.annee","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Femmes",21,3.91791044776119,100,100,47.4761904761905,48,32.5965147480729,21.875,0,0,38.0952380952381,0,52.3809523809524,100,71.4285714285714,100,32.5965147480729,21.875,66.6666666666667,100,7.71428571428571,5
1978,"Hommes",515,96.0820895522388,0,0,51.3572815533981,53,46.5444341212008,44.8275862068966,14.7572815533981,0,74.368932038835,100,23.3009708737864,0,80.5825242718447,100,44.5161976020871,43.4782608695652,37.8640776699029,0,12.2504854368932,11
1978,"Total",536,100,3.91791044776119,0,51.205223880597,53,45.9979671308357,44,14.1791044776119,0,72.9477611940299,100,24.4402985074627,0,80.2238805970149,100,44.0491951022096,42.4242424242424,38.9925373134328,0,12.0727611940299,11
1997,"Femmes",73,11.1620795107034,100,100,50.4246575342466,50,48.013519118618,51.7241379310345,24.6575342465753,0,64.3835616438356,100,21.9178082191781,0,82.1917808219178,100,40.1903307212587,42.8571428571429,68.4931506849315,100,12.2876712328767,14
1997,"Hommes",581,88.8379204892966,0,0,52.8760757314974,53,61.7744861036921,63.6363636363636,23.5800344234079,0,76.4199655765921,100,15.6626506024096,0,96.5576592082616,100,58.9292874265722,60.8695652173913,34.4234079173838,0,17.1256454388985,16
1997,"Total",654,100,11.1620795107034,0,52.6024464831804,52,60.2384760273765,61.8347338935574,23.7003058103976,0,75.0764525993884,100,16.3608562691131,0,94.954128440367,100,56.8376301796488,58.578637510513,38.2262996941896,0,16.585626911315,16
2007,"Femmes",123,19.2488262910798,100,100,53.6341463414634,55,55.5211547839148,58.0645161290323,23.5772357723577,0,57.7235772357724,100,26.0162601626016,0,92.6829268292683,100,49.0050946748559,50,46.3414634146341,0,15.7723577235772,15
2007,"Hommes",516,80.7511737089202,0,0,55.2364341085271,56,70.4827929009733,72.972972972973,31.0077519379845,0,72.4806201550388,100,11.8217054263566,0,97.0930232558139,100,66.0802784981615,68.5714285714286,24.031007751938,0,21.0988372093023,22
2007,"Total",639,100,19.2488262910798,0,54.9280125195618,56,67.6028531695207,70.3703703703704,29.5774647887324,0,69.6400625978091,100,14.5539906103286,0,96.2441314553991,100,62.7935060251309,66.6666666666667,28.3255086071987,0,20.0735524256651,20
2012,"Femmes",167,26.8057784911718,100,100,52.8682634730539,54,49.445387124982,50,22.7544910179641,0,53.8922155688623,100,29.940119760479,0,88.0239520958084,100,43.2964435779501,44,59.2814371257485,100,13.8502994011976,12
2012,"Hommes",456,73.1942215088282,0,0,54.9561403508772,56,69.1102688287482,73.2520325203252,37.0614035087719,0,67.1052631578947,100,13.3771929824561,0,94.5175438596491,100,62.8030287228087,66.6666666666667,35.0877192982456,0,20.7894736842105,22.5
2012,"Total",623,100,26.8057784911718,0,54.3964686998395,55,63.8620849656852,68,33.2263242375602,0,63.5634028892456,100,17.8170144462279,0,92.776886035313,100,57.5970912082645,60.7142857142857,41.5730337078652,0,18.9293739967897,19
2017,"Femmes",228,38.974358974359,100,100,47.8947368421053,48.5,26.5064448272203,15,19.2982456140351,0,64.0350877192982,100,21.4912280701754,0,53.5087719298246,100,20.3213437212951,10.3448275862069,84.2105263157895,100,6.6140350877193,3
2017,"Hommes",357,61.025641025641,0,0,49.9159663865546,50,49.7497572083826,53.3333333333333,28.2913165266106,0,71.4285714285714,100,10.0840336134454,0,74.7899159663866,100,43.6274433984146,44.4444444444444,64.7058823529412,100,13.4957983193277,12
2017,"Total",585,100,38.974358974359,0,49.1282051282051,50,40.6840666404722,36.0555555555556,24.7863247863248,0,68.5470085470085,100,14.5299145299145,0,66.4957264957265,100,34.5372636274418,27.2727272727273,72.3076923076923,100,10.8136752136752,7
2022,"Femmes",226,37.85594639866,100,100,49.3982300884956,49,39.494227409592,33.3333333333333,25.6637168141593,0,58.8495575221239,100,23.0088495575221,0,65.0442477876106,100,31.9365551083602,27.2727272727273,52.212389380531,100,9.38495575221239,7
2022,"Hommes",371,62.14405360134,0,0,48.6819407008086,50,54.5957723642466,53.8461538461538,35.3099730458221,0,60.6469002695418,100,15.9029649595687,0,75.2021563342318,100,45.8830850535185,47.5294117647059,49.3261455525606,0,12.5795148247978,8
2022,"Total",597,100,37.85594639866,0,48.9530988274707,50,48.8658438401365,47.0588235294118,31.6582914572864,0,59.9664991624791,100,18.5929648241206,0,71.356783919598,100,40.5913999984416,36.8421052631579,50.4187604690117,100,11.3701842546064,8
2024,"Femmes",205,35.528596187175,100,100,51.1365853658537,52,45.8288026474036,42.4812030075188,28.2926829268293,0,60,100,20,0,65.8536585365854,100,38.6366295440307,35.8058608058608,20,0,11.419512195122,9
2024,"Hommes",372,64.471403812825,0,0,48.8037634408602,50,53.1197453002123,52.9411764705882,36.0215053763441,0,59.4086021505376,100,16.9354838709677,0,72.0430107526882,100,45.3375123804065,43.75,26.6129032258065,0,12.1935483870968,10
2024,"Total",577,100,35.528596187175,0,49.632582322357,51,50.514925158053,50,33.2755632582322,0,59.6187175043328,100,18.0242634315425,0,69.844020797227,100,42.9435016998099,40.7407407407407,24.263431542461,0,11.9185441941075,10
