"legis.annee","cabcollab","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien collaborateur","artisancommercantpdg",1,4.76190476190476,0,0,55,55,100,100,100,100,100,100,0,0,100,100,100,100,0,0,30,30
1978,"Ancien collaborateur","cadsupprive",12,16,0,0,48.0833333333333,52,48.9683292081791,41.1637931034483,100,100,100,100,0,0,66.6666666666667,100,40.3523239907417,38.0387931034483,50,50,12.75,12.5
1978,"Ancien collaborateur","cadsuppub",48,29.0909090909091,0,0,50.3958333333333,52,57.2224075699203,60.3030303030303,100,100,100,100,0,0,81.25,100,42.3182838332549,47.45670995671,29.1666666666667,0,14.4583333333333,13.5
1978,"Ancien collaborateur","collab",8,80,0,0,44.375,47,64.1381455849456,74.8125,100,100,0,0,0,0,100,100,47.3634339824136,39.8571428571428,37.5,0,10.625,9.5
1978,"Ancien collaborateur","profinter",5,6.49350649350649,0,0,50.2,50,46.9463203463204,38.0952380952381,100,100,0,0,100,100,80,100,33.3108225108225,12.1212121212121,60,100,10.6,11
1978,"Ancien collaborateur","proflib",2,1.94174757281553,0,0,45,45,41.991341991342,41.991341991342,100,100,100,100,0,0,0,0,30.3030303030303,30.3030303030303,50,50,12,12
1978,"Jamais collaborateur","agri",27,100,0,0,50.5925925925926,48,59.0615385545648,63.6363636363636,0,0,100,100,0,0,88.8888888888889,100,59.0615385545648,63.6363636363636,48.1481481481481,0,14.2222222222222,13
1978,"Jamais collaborateur","artisancommercantpdg",20,95.2380952380952,5,0,57.7,55.5,41.8919789285612,47.2831765935214,0,0,100,100,0,0,55,100,41.8919789285612,47.2831765935214,25,0,12.9,14.5
1978,"Jamais collaborateur","cadsupprive",63,84,3.17460317460317,0,50.4920634920635,51,36.4300961617903,35.4838709677419,0,0,100,100,0,0,73.015873015873,100,36.4300961617903,35.4838709677419,47.6190476190476,0,9.95238095238095,8
1978,"Jamais collaborateur","cadsuppub",117,70.9090909090909,2.56410256410256,0,48.9059829059829,48,39.1259158103556,35,0,0,100,100,0,0,80.3418803418803,100,39.1259158103556,35,47.8632478632479,0,9.4017094017094,7
1978,"Jamais collaborateur","collab",2,20,0,0,40.5,40.5,13.1578947368421,13.1578947368421,0,0,0,0,0,0,0,0,13.1578947368421,13.1578947368421,50,50,2.5,2.5
1978,"Jamais collaborateur","employe",54,100,11.1111111111111,0,54.4444444444444,55.5,46.3836363177426,46.2962962962962,0,0,0,0,100,100,83.3333333333333,100,46.3836363177426,46.2962962962962,25.9259259259259,0,13.5740740740741,13
