"legis.annee","elu.local","elu.local.1","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien élu local","Ancien élu local",430,Inf,3.48837209302326,0,51.9348837209302,53,52.981674281091,53.2291666666667,13.953488372093,0,71.1627906976744,100,26.5116279069767,0,100,100,51.3921865283708,51.5151515151515,34.4186046511628,0,13.9279069767442,13
1978,"Jamais élu local","Jamais élu local",106,Inf,5.66037735849057,0,48.2452830188679,49,17.667834351498,14.7186147186147,15.0943396226415,0,80.188679245283,100,16.0377358490566,0,0,0,14.2615883734426,0,57.5471698113208,100,4.54716981132075,2
1978,"Total","Total",536,100,3.91791044776119,0,51.205223880597,53,45.9979671308357,44,14.1791044776119,0,72.9477611940299,100,24.4402985074627,0,80.2238805970149,100,44.0491951022096,42.4242424242424,38.9925373134328,0,12.0727611940299,11
1997,"Ancien élu local","Ancien élu local",621,Inf,9.66183574879227,0,52.8647342995169,52,62.1867401725895,63.6363636363636,22.7053140096618,0,75.2012882447665,100,16.5861513687601,0,100,100,59.3020191362706,60.4166666666667,36.3929146537842,0,17.1481481481481,16
1997,"Jamais élu local","Jamais élu local",33,Inf,39.3939393939394,0,47.6666666666667,45,23.5756871129137,16.1290322580645,42.4242424242424,0,72.7272727272727,100,12.1212121212121,0,0,0,10.4623107232215,0,72.7272727272727,100,6,3
1997,"Total","Total",654,100,11.1620795107034,0,52.6024464831804,52,60.2384760273765,61.8347338935574,23.7003058103976,0,75.0764525993884,100,16.3608562691131,0,94.954128440367,100,56.8376301796488,58.578637510513,38.2262996941896,0,16.585626911315,16
2007,"Ancien élu local","Ancien élu local",615,Inf,18.5365853658537,0,55.2845528455285,56,68.9427721291093,70.5882352941177,28.9430894308943,0,69.7560975609756,100,14.7967479674797,0,100,100,64.8276821924795,66.6666666666667,26.9918699186992,0,20.669918699187,21
2007,"Jamais élu local","Jamais élu local",24,Inf,37.5,0,45.7916666666667,43.5,33.2674298300629,24.6963562753036,45.8333333333333,0,66.6666666666667,100,8.33333333333333,0,0,0,10.6677417368207,0,62.5,100,4.79166666666667,5
2007,"Total","Total",639,100,19.2488262910798,0,54.9280125195618,56,67.6028531695207,70.3703703703704,29.5774647887324,0,69.6400625978091,100,14.5539906103286,0,96.2441314553991,100,62.7935060251309,66.6666666666667,28.3255086071987,0,20.0735524256651,20
2012,"Ancien élu local","Ancien élu local",578,Inf,25.4325259515571,0,55.0622837370242,56,67.7000736492683,70.7317073170732,33.9100346020761,0,63.6678200692042,100,17.8200692041523,0,100,100,61.7334701915298,63.8888888888889,37.8892733564014,0,20.2128027681661,20
2012,"Jamais élu local","Jamais élu local",45,Inf,44.4444444444444,0,45.8444444444444,46,13.4448699858899,0,24.4444444444444,0,62.2222222222222,100,17.7777777777778,0,0,0,3.26011274627875,0,88.8888888888889,100,2.44444444444444,0
