"legis.annee","elu.local","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien élu local","Femmes",15,71.4285714285714,100,100,50.3333333333333,53,41.8317018438832,31.25,0,0,33.3333333333333,0,53.3333333333333,100,100,100,41.8317018438832,31.25,66.6666666666667,100,10.2,6
1978,"Ancien élu local","Hommes",415,80.5825242718447,0,0,51.9927710843373,53,53.3846853330383,53.8461538461538,14.4578313253012,0,72.5301204819277,100,25.5421686746988,0,100,100,51.7377462157619,51.5151515151515,33.2530120481928,0,14.0626506024096,13
1978,"Jamais élu local","Femmes",6,28.5714285714286,100,100,40.3333333333333,38,9.50854700854702,0,0,0,50,50,50,50,0,0,9.50854700854702,0,66.6666666666667,100,1.5,0
1978,"Jamais élu local","Hommes",100,19.4174757281553,0,0,48.72,50,18.157391592075,15.1515151515152,16,0,82,100,14,0,0,0,14.5467708553364,0,57,100,4.73,2
1978,"Total","Femmes",21,100,100,100,47.4761904761905,48,32.5965147480729,21.875,0,0,38.0952380952381,0,52.3809523809524,100,71.4285714285714,100,32.5965147480729,21.875,66.6666666666667,100,7.71428571428571,5
1978,"Total","Hommes",515,100,0,0,51.3572815533981,53,46.5444341212008,44.8275862068966,14.7572815533981,0,74.368932038835,100,23.3009708737864,0,80.5825242718447,100,44.5161976020871,43.4782608695652,37.8640776699029,0,12.2504854368932,11
1997,"Ancien élu local","Femmes",60,82.1917808219178,100,100,51.65,50.5,52.5622220212751,53.5897435897435,20,0,61.6666666666667,100,26.6666666666667,0,100,100,47.6373550145002,50,65,100,13.6333333333333,14
1997,"Ancien élu local","Hommes",561,96.5576592082616,0,0,52.9946524064171,53,63.2161004026766,65,22.9946524064171,0,76.6488413547237,100,15.5080213903743,0,100,100,60.549576796353,62.5,33.3333333333333,0,17.524064171123,17
1997,"Jamais élu local","Femmes",13,17.8082191780822,100,100,44.7692307692308,45,27.019505721739,19.047619047619,46.1538461538462,0,76.9230769230769,100,0,0,0,0,5.81944936783646,0,84.6153846153846,100,6.07692307692308,4
1997,"Jamais élu local","Hommes",20,3.44234079173838,0,0,49.55,46.5,21.3372050171773,11.6666666666667,40,0,70,100,20,0,0,0,13.4801706042218,0,65,100,5.95,3
1997,"Total","Femmes",73,100,100,100,50.4246575342466,50,48.013519118618,51.7241379310345,24.6575342465753,0,64.3835616438356,100,21.9178082191781,0,82.1917808219178,100,40.1903307212587,42.8571428571429,68.4931506849315,100,12.2876712328767,14
1997,"Total","Hommes",581,100,0,0,52.8760757314974,53,61.7744861036921,63.6363636363636,23.5800344234079,0,76.4199655765921,100,15.6626506024096,0,96.5576592082616,100,58.9292874265722,60.8695652173913,34.4234079173838,0,17.1256454388985,16
2007,"Ancien élu local","Femmes",114,92.6829268292683,100,100,54.1578947368421,55,57.4276513967232,60,21.9298245614035,0,57.0175438596491,100,27.1929824561403,0,100,100,52.3521005747377,50.7575757575758,43.859649122807,0,16.6315789473684,17
2007,"Ancien élu local","Hommes",501,97.0930232558139,0,0,55.5409181636727,57,71.5629792418678,75,30.5389221556886,0,72.6546906187625,100,11.9760479041916,0,100,100,67.6664372911274,69.2307692307692,23.1536926147705,0,21.5888223552894,22
2007,"Jamais élu local","Femmes",9,7.31707317073171,100,100,47,46,31.3721976883419,13.0434782608696,44.4444444444444,0,66.6666666666667,100,11.1111111111111,0,0,0,6.60968660968661,0,77.7777777777778,100,4.88888888888889,5
2007,"Jamais élu local","Hommes",15,2.90697674418605,0,0,45.0666666666667,43,34.4045691150954,30,46.6666666666667,0,66.6666666666667,100,6.66666666666667,0,0,0,13.1025748131011,0,53.3333333333333,100,4.73333333333333,5
2007,"Total","Femmes",123,100,100,100,53.6341463414634,55,55.5211547839148,58.0645161290323,23.5772357723577,0,57.7235772357724,100,26.0162601626016,0,92.6829268292683,100,49.0050946748559,50,46.3414634146341,0,15.7723577235772,15
2007,"Total","Hommes",516,100,0,0,55.2364341085271,56,70.4827929009733,72.972972972973,31.0077519379845,0,72.4806201550388,100,11.8217054263566,0,97.0930232558139,100,66.0802784981615,68.5714285714286,24.031007751938,0,21.0988372093023,22
2012,"Ancien élu local","Femmes",147,88.0239520958084,100,100,53.7823129251701,54,54.2312087686773,53.8461538461538,23.1292517006803,0,53.7414965986395,100,30.6122448979592,0,100,100,48.5188066598276,47.8260869565217,55.1020408163265,100,15.4897959183673,14
2012,"Ancien élu local","Hommes",431,94.5175438596491,0,0,55.4988399071926,56,72.2938628312796,75,37.5870069605568,0,67.0533642691415,100,13.4570765661253,0,100,100,66.240559609535,68.75,32.0185614849188,0,21.8236658932715,23
2012,"Jamais élu local","Femmes",20,11.9760479041916,100,100,46.15,42.5,12.4182407237606,0,20,0,55,100,25,0,0,0,2.89184499710815,0,90,100,1.8,0
2012,"Jamais élu local","Hommes",25,5.48245614035088,0,0,45.6,46,14.2251082251082,0,28,0,68,100,12,0,0,0,3.53999623564841,0,88,100,2.96,0
2012,"Total","Femmes",167,100,100,100,52.8682634730539,54,49.445387124982,50,22.7544910179641,0,53.8922155688623,100,29.940119760479,0,88.0239520958084,100,43.2964435779501,44,59.2814371257485,100,13.8502994011976,12
2012,"Total","Hommes",456,100,0,0,54.9561403508772,56,69.1102688287482,73.2520325203252,37.0614035087719,0,67.1052631578947,100,13.3771929824561,0,94.5175438596491,100,62.8030287228087,66.6666666666667,35.0877192982456,0,20.7894736842105,22.5
2017,"Ancien élu local","Femmes",122,53.5087719298246,100,100,52.2049180327869,53,42.8695402277865,36.1111111111111,20.4918032786885,0,51.6393442622951,100,27.8688524590164,0,100,100,36.9228351771069,32.1428571428571,72.9508196721311,100,11.5081967213115,9
2017,"Ancien élu local","Hommes",267,74.7899159663866,0,0,52.5880149812734,52,63.1364251579343,65.2173913043478,30.7116104868914,0,68.9138576779026,100,9.36329588014981,0,100,100,58.2878028379596,60,53.9325842696629,100,17.5131086142322,16
2017,"Jamais élu local","Femmes",106,46.4912280701754,100,100,42.9339622641509,41,7.49408636180052,0,17.9245283018868,0,78.3018867924528,100,14.1509433962264,0,0,0,1.03199174406605,0,97.1698113207547,100,0.981132075471698,0
2017,"Jamais élu local","Hommes",90,25.2100840336134,0,0,41.9888888888889,41,10.3334571347027,0,21.1111111111111,0,78.8888888888889,100,12.2222222222222,0,0,0,0.460829493087558,0,96.6666666666667,100,1.57777777777778,0
2017,"Total","Femmes",228,100,100,100,47.8947368421053,48.5,26.5064448272203,15,19.2982456140351,0,64.0350877192982,100,21.4912280701754,0,53.5087719298246,100,20.3213437212951,10.3448275862069,84.2105263157895,100,6.6140350877193,3
2017,"Total","Hommes",357,100,0,0,49.9159663865546,50,49.7497572083826,53.3333333333333,28.2913165266106,0,71.4285714285714,100,10.0840336134454,0,74.7899159663866,100,43.6274433984146,44.4444444444444,64.7058823529412,100,13.4957983193277,12
2022,"Ancien élu local","Femmes",147,65.0442477876106,100,100,51.6462585034014,52,45.5923740682018,40,22.4489795918367,0,59.1836734693878,100,23.1292517006803,0,100,100,41.148387263243,37.9310344827586,53.7414965986395,100,11.9115646258503,8
2022,"Ancien élu local","Hommes",279,75.2021563342318,0,0,50.741935483871,52,61.7353540158826,60.4347826086956,34.7670250896057,0,58.4229390681004,100,15.4121863799283,0,100,100,55.5343598205461,53.8461538461538,48.0286738351254,0,15.2974910394265,14
2022,"Jamais élu local","Femmes",79,34.9557522123894,100,100,45.2151898734177,44,28.0015663991351,18.8746438746439,31.6455696202532,0,58.2278481012658,100,22.7848101265823,0,0,0,14.5757945087734,13.1578947368421,49.3670886075949,0,4.68354430379747,5
2022,"Jamais élu local","Hommes",92,24.7978436657682,0,0,42.4347826086956,40.5,32.5423979291931,20.0700700700701,36.9565217391304,0,67.3913043478261,100,17.3913043478261,0,0,0,16.0713696620331,2.17391304347826,53.2608695652174,100,4.33695652173913,5
2022,"Total","Femmes",226,100,100,100,49.3982300884956,49,39.494227409592,33.3333333333333,25.6637168141593,0,58.8495575221239,100,23.0088495575221,0,65.0442477876106,100,31.9365551083602,27.2727272727273,52.212389380531,100,9.38495575221239,7
2022,"Total","Hommes",371,100,0,0,48.6819407008086,50,54.5957723642466,53.8461538461538,35.3099730458221,0,60.6469002695418,100,15.9029649595687,0,75.2021563342318,100,45.8830850535185,47.5294117647059,49.3261455525606,0,12.5795148247978,8
2024,"Ancien élu local","Femmes",135,65.8536585365854,100,100,53.4740740740741,53,52.6145505877032,50,24.4444444444444,0,60.7407407407407,100,19.2592592592593,0,100,100,48.110344135125,47.6190476190476,19.2592592592593,0,14.5703703703704,11
2024,"Ancien élu local","Hommes",268,72.0430107526882,0,0,51.294776119403,53,62.0161433075207,62.0192307692307,35.4477611940299,0,58.5820895522388,100,16.044776119403,0,100,100,55.9277981969679,53.6375661375662,22.7611940298507,0,15.365671641791,13
