"legis.annee","elu.local","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien élu local","Ancien député",282,86.2385321100917,1.77304964539007,0,55.4007092198582,56,60.4823265647824,60.6060606060606,15.9574468085106,0,71.9858156028369,100,25.886524822695,0,100,100,58.7136091258688,57.5757575757576,0,0,17.209219858156,17
1978,"Ancien élu local","Primo-député",148,70.8133971291866,6.75675675675676,0,45.3310810810811,45,38.6898908756791,32.2916666666667,10.1351351351351,0,69.5945945945946,100,27.7027027027027,0,100,100,37.4419083358409,31.0344827586207,100,100,7.67567567567568,6.5
1978,"Jamais élu local","Ancien député",45,13.7614678899083,4.44444444444444,0,53.7777777777778,54,33.5770883415189,30.4347826086957,8.88888888888889,0,77.7777777777778,100,20,0,0,0,32.4575420359635,27.2727272727273,0,0,9.4,7
1978,"Jamais élu local","Primo-député",61,29.1866028708134,6.55737704918033,0,44.1639344262295,43,5.93149944082675,0,19.672131147541,0,81.9672131147541,100,13.1147540983607,0,0,0,0.838343868304298,0,100,100,0.967213114754098,0
1978,"Total","Ancien député",327,100,2.14067278287462,0,55.177370030581,56,56.7797708459846,57.5757575757576,14.9847094801223,0,72.782874617737,100,25.0764525993884,0,86.2385321100917,100,55.1003888841387,55.1724137931034,0,0,16.1345565749235,16
1978,"Total","Primo-député",209,100,6.69856459330144,0,44.9904306220096,44,29.1288292607222,22.7272727272727,12.9186602870813,0,73.2057416267943,100,23.444976076555,0,70.8133971291866,100,26.7585713381388,18.5185185185185,100,100,5.7177033492823,5
1997,"Ancien élu local","Ancien député",395,97.7722772277228,5.31645569620253,0,55.0860759493671,54,66.5451946773143,68.4210526315789,23.2911392405063,0,78.9873417721519,100,12.6582278481013,0,100,100,63.8784201325234,65.5172413793103,0,0,19.6632911392405,20
1997,"Ancien élu local","Primo-député",226,90.4,17.2566371681416,0,48.9823008849558,49,54.5690873877828,53.8461538461538,21.6814159292035,0,68.5840707964602,100,23.4513274336283,0,100,100,51.3034421737934,50.6410256410256,100,100,12.7522123893805,13.5
1997,"Jamais élu local","Ancien député",9,2.22772277227723,22.2222222222222,0,52.5555555555556,46,37.170000478824,33.3333333333333,33.3333333333333,0,77.7777777777778,100,11.1111111111111,0,0,0,34.7946443534679,30,0,0,11.2222222222222,9
1997,"Jamais élu local","Primo-député",24,9.6,45.8333333333333,0,45.8333333333333,45,18.4778196006974,3.22580645161291,45.8333333333333,0,70.8333333333333,100,12.5,0,0,0,1.33768561187916,0,100,100,4.04166666666667,0.5
1997,"Total","Ancien député",404,100,5.69306930693069,0,55.029702970297,54,65.8907967867539,68.1334622823985,23.5148514851485,0,78.960396039604,100,12.6237623762376,0,97.7722772277228,100,63.2305142364553,65.2173913043478,0,0,19.4752475247525,20
1997,"Total","Primo-député",250,100,20,0,48.68,49,51.1043256802226,51.8518518518518,24,0,68.8,100,22.4,0,90.4,100,46.5067295438496,47.4424552429667,100,100,11.916,13
2007,"Ancien élu local","Ancien député",449,98.0349344978166,14.2538975501114,0,56.8596881959911,58,72.3807733818403,75,30.7349665924276,0,71.7149220489978,100,13.1403118040089,0,100,100,68.6114812925592,69.2307692307692,0,0,22.7216035634744,24
2007,"Ancien élu local","Primo-député",166,91.7127071823204,30.1204819277108,0,51.0240963855422,51,59.6436000659997,60.7378129117259,24.0963855421687,0,64.4578313253012,100,19.2771084337349,0,100,100,54.5931894458785,52.0869565217392,100,100,15.1204819277108,12
2007,"Jamais élu local","Ancien député",9,1.96506550218341,22.2222222222222,0,50.2222222222222,51,33.2882419724525,30,33.3333333333333,0,100,100,0,0,0,0,28.4473112981885,26.3157894736842,0,0,7.66666666666667,6
2007,"Jamais élu local","Primo-député",15,8.28729281767956,46.6666666666667,0,43.1333333333333,41,33.2549425446291,13.0434782608696,53.3333333333333,100,46.6666666666667,0,13.3333333333333,0,0,0,0,0,100,100,3.06666666666667,3
2007,"Total","Ancien député",458,100,14.410480349345,0,56.7292576419214,57.5,71.6125795331842,73.2520325203252,30.7860262008734,0,72.2707423580786,100,12.882096069869,0,98.0349344978166,100,67.8222290437616,68.9903846153846,0,0,22.4257641921397,24
2007,"Total","Primo-député",181,100,31.4917127071823,0,50.3701657458564,51,57.4566947465491,60,26.5193370165746,0,62.9834254143646,100,18.7845303867403,0,91.7127071823204,100,50.068891977988,50,100,100,14.121546961326,12
2012,"Ancien élu local","Ancien député",359,98.6263736263736,18.3844011142061,0,58.075208913649,60,74.6048798895414,76.1904761904762,33.4261838440111,0,68.5236768802228,100,15.041782729805,0,100,100,70.413192955786,71.4285714285714,0,0,24.3259052924791,23
2012,"Ancien élu local","Primo-député",219,84.5559845559846,36.986301369863,0,50.1232876712329,50,56.3812360225192,56.0975609756098,34.703196347032,0,55.7077625570776,100,22.3744292237443,0,100,100,47.5050662081144,44.4444444444444,100,100,13.4703196347032,12
2012,"Jamais élu local","Ancien député",5,1.37362637362637,40,0,48.4,48,43.5958244653897,23.8095238095238,40,0,40,0,40,0,0,0,28.688992167253,23.8095238095238,0,0,8.8,7
2012,"Jamais élu local","Primo-député",40,15.4440154440154,45,0,45.525,44.5,9.5793630013387,0,22.5,0,65,100,15,0,0,0,0,0,100,100,1.65,0
2012,"Total","Ancien député",364,100,18.6813186813187,0,57.9423076923077,59,74.1789313260228,76.0869565217391,33.5164835164835,0,68.1318681318681,100,15.3846153846154,0,98.6263736263736,100,69.8400583295699,71.4285714285714,0,0,24.1126373626374,23
2012,"Total","Primo-député",259,100,38.2239382239382,0,49.4131274131274,50,49.3065342867594,50,32.8185328185328,0,57.1428571428571,100,21.2355212355212,0,84.5559845559846,100,40.3240678278181,40.3703703703704,100,100,11.6447876447876,11
2017,"Ancien élu local","Ancien député",156,96.2962962962963,21.1538461538462,0,56.5641025641026,57,72.1360584322511,73.5087719298245,36.5384615384615,0,66.025641025641,100,8.33333333333333,0,100,100,66.3214527164475,65.1668351870576,0,0,22.2564102564103,22
2017,"Ancien élu local","Primo-député",233,55.0827423167849,38.1974248927039,0,49.725321888412,49,46.355027961954,40,21.4592274678112,0,61.8025751072961,100,19.7424892703863,0,100,100,41.5788182679676,37.5,100,100,11.1931330472103,9
2017,"Jamais élu local","Ancien député",6,3.7037037037037,50,50,48.6666666666667,48.5,50.547264746306,46.4285714285715,66.6666666666667,100,50,50,0,0,0,0,24.9722979174692,22.0864661654135,0,0,11,12
2017,"Jamais élu local","Primo-député",190,44.9172576832151,54.2105263157895,100,42.3052631578947,41,7.47940011446807,0,17.8947368421053,0,79.4736842105263,100,13.6842105263158,0,0,0,0,0,100,100,0.947368421052632,0
2017,"Total","Ancien député",162,100,22.2222222222222,0,56.2716049382716,56,71.3364734809198,73.3333333333333,37.6543209876543,0,65.4320987654321,100,8.02469135802469,0,96.2962962962963,100,64.7900025387076,64.7058823529412,0,0,21.8395061728395,22
2017,"Total","Primo-député",423,100,45.3900709219858,0,46.3924349881797,47,28.8609954305853,18.4697855750487,19.8581560283688,0,69.7399527186761,100,17.0212765957447,0,55.0827423167849,100,22.8683500473822,11.7692307692308,100,100,6.59101654846336,3
2022,"Ancien élu local","Ancien député",213,71.9594594594595,31.924882629108,0,54.8403755868545,55,64.0846899673329,65.5172413793103,32.8638497652582,0,62.4413145539906,100,12.2065727699531,0,100,100,59.3411312209197,58.1395348837209,0,0,18.8215962441315,16
2022,"Ancien élu local","Primo-député",213,70.7641196013289,37.0892018779343,0,47.2676056338028,48,48.1814549122601,46.4102564102565,28.169014084507,0,54.9295774647887,100,23.943661971831,0,100,100,41.7344528667577,38.6904761904762,100,100,9.43661971830986,8
2022,"Jamais élu local","Ancien député",83,28.0405405405405,48.1927710843374,0,47.0481927710843,46,39.5566864028707,29.4117647058824,26.5060240963855,0,77.1084337349398,100,10.8433734939759,0,0,0,30.2041729202219,25,0,0,7,5
2022,"Jamais élu local","Primo-député",88,29.2358803986711,44.3181818181818,0,40.5795454545455,37.5,21.5262708390782,0,42.0454545454545,0,50,50,28.4090909090909,0,0,0,0.898692810457516,0,100,100,2.13636363636364,0
2022,"Total","Ancien député",296,100,36.4864864864865,0,52.6554054054054,54,57.2069051840546,55.0509337860781,31.0810810810811,0,66.554054054054,100,11.8243243243243,0,71.9594594594595,100,51.1709706163321,50,0,0,15.5067567567568,13
2022,"Total","Primo-député",301,100,39.202657807309,0,45.312292358804,45,40.5528668778477,36.3636363636364,32.2259136212625,0,53.4883720930233,100,25.2491694352159,0,70.7641196013289,100,30.0474508304429,20.9302325581395,100,100,7.30232558139535,6
2024,"Ancien élu local","Ancien député",316,72.3112128146453,34.4936708860759,0,52.6708860759494,53,59.9850080632048,57.1428571428571,31.3291139240506,0,60.126582278481,100,16.7721518987342,0,100,100,54.8631805993613,53.3333333333333,0,0,15.9367088607595,14
2024,"Ancien élu local","Primo-député",87,62.1428571428571,29.8850574712644,0,49.6781609195402,51,54.8049216986522,56.0975609756098,33.3333333333333,0,56.3218390804598,100,18.3908045977011,0,100,100,47.6641529382885,47.0588235294118,100,100,12.0574712643678,10
2024,"Jamais élu local","Ancien député",121,27.6887871853547,45.4545454545455,0,45.4049586776859,44,35.7440620398051,24.1379310344828,33.8842975206612,0,59.504132231405,100,23.1404958677686,0,0,0,24.8294952195744,20,0,0,5.70247933884298,6
2024,"Jamais élu local","Primo-député",53,37.8571428571429,28.3018867924528,0,41.0943396226415,37,17.697717280734,0,43.3962264150943,0,62.2641509433962,100,13.2075471698113,0,0,0,1.6833298863841,0,100,100,1.92452830188679,0
2024,"Total","Ancien député",437,100,37.5286041189931,0,50.6590389016018,52,53.3535768522058,51.4285714285714,32.0366132723112,0,59.954233409611,100,18.5354691075515,0,72.3112128146453,100,46.6470689667299,43.4782608695652,0,0,13.1029748283753,10
2024,"Total","Primo-député",140,100,29.2857142857143,0,46.4285714285714,46,41.4354142245493,40.5128205128205,37.1428571428571,0,58.5714285714286,100,16.4285714285714,0,62.1428571428571,100,31.0975328681171,23.5384615384616,100,100,8.22142857142857,5
