"legis.annee","genre","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Femmes","artisancommercantpdg",1,4.76190476190476,100,100,51,51,15.3846153846154,15.3846153846154,0,0,100,100,0,0,0,0,15.3846153846154,15.3846153846154,0,0,4,4
1978,"Femmes","cadsupprive",2,2.66666666666667,100,100,45,45,10.9375,10.9375,0,0,100,100,0,0,50,50,10.9375,10.9375,100,100,3.5,3.5
1978,"Femmes","cadsuppub",3,1.81818181818182,100,100,55,53,57.7875023527197,60.7142857142857,0,0,100,100,0,0,100,100,57.7875023527197,60.7142857142857,0,0,17.3333333333333,17
1978,"Femmes","employe",6,11.1111111111111,100,100,42.8333333333333,41,28.2806513409962,28.125,0,0,0,0,100,100,66.6666666666667,100,28.2806513409962,28.125,66.6666666666667,100,5.83333333333333,5
1978,"Femmes","NA",2,50,100,100,59,59,48.7554112554112,48.7554112554112,0,0,0,0,0,0,100,100,48.7554112554112,48.7554112554112,50,50,16,16
1978,"Femmes","profinter",5,6.49350649350649,100,100,50.4,49,21.3419913419913,14.2857142857143,0,0,0,0,100,100,80,100,21.3419913419913,14.2857142857143,100,100,5.2,2
1978,"Femmes","proflib",2,1.94174757281553,100,100,32,32,50,50,0,0,100,100,0,0,50,50,50,50,100,100,3,3
1978,"Hommes","agri",27,100,0,0,50.5925925925926,48,59.0615385545648,63.6363636363636,0,0,100,100,0,0,88.8888888888889,100,59.0615385545648,63.6363636363636,48.1481481481481,0,14.2222222222222,13
1978,"Hommes","artisancommercantpdg",20,95.2380952380952,0,0,57.9,55.5,46.1227481593305,56.1576354679802,5,0,100,100,0,0,60,100,46.1227481593305,56.1576354679802,25,0,14.2,16
1978,"Hommes","cadsupprive",73,97.3333333333333,0,0,50.2465753424658,51,39.18960285878,40.625,16.4383561643836,0,100,100,0,0,72.6027397260274,100,37.7732732339958,40.625,46.5753424657534,0,10.5890410958904,10
1978,"Hommes","cadsuppub",162,98.1818181818182,0,0,49.2345679012346,49.5,44.1422543587014,41.2878787878788,29.6296296296296,0,100,100,0,0,80.2469135802469,100,39.7262176959857,39.3939393939394,43.2098765432099,0,10.7530864197531,9.5
1978,"Hommes","collab",10,100,0,0,43.6,45,53.9420954153249,56.7255434782608,80,100,0,0,0,0,80,100,40.5223261332993,35.248447204969,40,0,9,6.5
1978,"Hommes","employe",48,88.8888888888889,0,0,55.8958333333333,56.5,48.6465094398359,49.2424242424242,0,0,0,0,100,100,85.4166666666667,100,48.6465094398359,49.2424242424242,20.8333333333333,0,14.5416666666667,13
1978,"Hommes","NA",2,50,0,0,32.5,32.5,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
1978,"Hommes","profinter",72,93.5064935064935,0,0,50.1666666666667,52.5,48.3713994254627,42.4242424242424,6.94444444444444,0,0,0,100,100,90.2777777777778,100,47.4244898535531,42.4242424242424,41.6666666666667,0,12.1944444444444,10
1978,"Hommes","proflib",101,98.0582524271845,0,0,54.3069306930693,56,50.3384820550424,54.8387096774194,1.98019801980198,0,100,100,0,0,81.1881188118812,100,50.1070303384422,54.8387096774194,26.7326732673267,0,14.4554455445545,13
1978,"Total","agri",27,100,0,0,50.5925925925926,48,59.0615385545648,63.6363636363636,0,0,100,100,0,0,88.8888888888889,100,59.0615385545648,63.6363636363636,48.1481481481481,0,14.2222222222222,13
1978,"Total","artisancommercantpdg",21,100,4.76190476190476,0,57.5714285714286,55,44.6590275510107,55.1724137931034,4.76190476190476,0,100,100,0,0,57.1428571428571,100,44.6590275510107,55.1724137931034,23.8095238095238,0,13.7142857142857,16
1978,"Total","cadsupprive",75,100,2.66666666666667,0,50.1066666666667,51,38.4362134492125,37.5,16,0,100,100,0,0,72,100,37.0576526144226,35.4838709677419,48,0,10.4,9
1978,"Total","cadsuppub",165,100,1.81818181818182,0,49.3393939393939,50,44.3903497767744,41.6666666666667,29.0909090909091,0,100,100,0,0,80.6060606060606,100,40.0546046897445,39.3939393939394,42.4242424242424,0,10.8727272727273,10
1978,"Total","collab",10,100,0,0,43.6,45,53.9420954153249,56.7255434782608,80,100,0,0,0,0,80,100,40.5223261332993,35.248447204969,40,0,9,6.5
1978,"Total","employe",54,100,11.1111111111111,0,54.4444444444444,55.5,46.3836363177426,46.2962962962962,0,0,0,0,100,100,83.3333333333333,100,46.3836363177426,46.2962962962962,25.9259259259259,0,13.5740740740741,13
1978,"Total","NA",4,100,50,50,45.75,44,24.3777056277056,1.78571428571428,0,0,0,0,0,0,50,50,24.3777056277056,1.78571428571428,75,100,8,0.5
1978,"Total","profinter",77,100,6.49350649350649,0,50.1818181818182,52,46.6162430564061,42.1052631578947,6.49350649350649,0,0,0,100,100,89.6103896103896,100,45.7308211190361,42.1052631578947,45.4545454545455,0,11.7402597402597,9
1978,"Total","proflib",103,100,1.94174757281553,0,53.873786407767,56,50.3319095879542,54.8387096774194,1.94174757281553,0,100,100,0,0,80.5825242718447,100,50.1049520794433,54.8387096774194,28.1553398058252,0,14.2330097087379,13
1997,"Femmes","artisancommercantpdg",2,5.26315789473684,100,100,48.5,48.5,33.5144927536232,33.5144927536232,0,0,100,100,0,0,100,100,33.5144927536232,33.5144927536232,100,100,8,8
1997,"Femmes","cadsupprive",7,7.14285714285714,100,100,54.8571428571429,50,45.0265253388177,39.5348837209302,28.5714285714286,0,100,100,0,0,85.7142857142857,100,43.859858672151,39.5348837209302,42.8571428571429,0,13.8571428571429,17
1997,"Femmes","cadsuppub",29,12.3931623931624,100,100,49,49,42.0884310501784,40,34.4827586206897,0,100,100,0,0,68.9655172413793,100,32.9885960193089,30,79.3103448275862,100,10.2068965517241,9
1997,"Femmes","collab",9,17.3076923076923,100,100,46.1111111111111,48,59.4733081563745,65,66.6666666666667,100,0,0,0,0,66.6666666666667,100,26.2476558846696,30.4347826086957,66.6666666666667,100,13.7777777777778,15
1997,"Femmes","employe",4,66.6666666666667,100,100,52.75,53,54.1758241758242,51.9230769230769,0,0,0,0,100,100,100,100,54.1758241758242,51.9230769230769,25,0,14.5,14.5
1997,"Femmes","NA",1,25,100,100,46,46,66.6666666666667,66.6666666666667,0,0,0,0,0,0,100,100,66.6666666666667,66.6666666666667,0,0,14,14
1997,"Femmes","ouvrier",1,10,100,100,55,55,56.6666666666667,56.6666666666667,0,0,0,0,100,100,100,100,56.6666666666667,56.6666666666667,0,0,17,17
1997,"Femmes","profinter",11,12.0879120879121,100,100,51.9090909090909,51,49.2145911574833,53.3333333333333,0,0,0,0,100,100,100,100,49.2145911574833,53.3333333333333,90.9090909090909,100,12.7272727272727,14
1997,"Femmes","proflib",9,8.7378640776699,100,100,53.4444444444444,51,53.9500917942947,55.5555555555556,0,0,100,100,0,0,100,100,53.9500917942947,55.5555555555556,55.5555555555556,100,15,15
1997,"Hommes","agri",18,100,0,0,55.6111111111111,56.5,69.2796236830615,78.4615384615385,0,0,100,100,0,0,94.4444444444444,100,69.2796236830615,78.4615384615385,27.7777777777778,0,21.1111111111111,20
1997,"Hommes","artisancommercantpdg",36,94.7368421052632,0,0,53.3611111111111,55,58.2173421024352,52.7777777777778,5.55555555555556,0,100,100,0,0,94.4444444444444,100,57.7122915973846,52.7777777777778,33.3333333333333,0,16.5277777777778,15
1997,"Hommes","cadsupprive",91,92.8571428571429,0,0,52.1098901098901,52,60.8414091569283,60,21.978021978022,0,100,100,0,0,96.7032967032967,100,59.2090255437587,58.3333333333333,29.6703296703297,0,16.1318681318681,15
1997,"Hommes","cadsuppub",205,87.6068376068376,0,0,54.3951219512195,54,60.2404646980516,62.5,28.780487804878,0,100,100,0,0,98.0487804878049,100,57.4685541497384,60.6060606060606,32.6829268292683,0,17.8146341463415,18
1997,"Hommes","collab",43,82.6923076923077,0,0,45.5581395348837,45,82.5808732549381,87.5,95.3488372093023,100,0,0,0,0,95.3488372093023,100,62.8580062650816,66.6666666666667,34.8837209302326,0,16.9302325581395,17
1997,"Hommes","employe",2,33.3333333333333,0,0,53.5,53.5,67.4937965260546,67.4937965260546,0,0,0,0,100,100,100,100,67.4937965260546,67.4937965260546,50,50,19,19
1997,"Hommes","NA",3,75,0,0,41,42,56.8449197860963,70,0,0,0,0,0,0,100,100,56.8449197860963,70,33.3333333333333,0,10,14
1997,"Hommes","ouvrier",9,90,0,0,54.8888888888889,56,54.5947118393355,60,0,0,0,0,100,100,88.8888888888889,100,54.5947118393355,60,55.5555555555556,100,17.4444444444444,20
1997,"Hommes","profinter",80,87.9120879120879,0,0,52.2625,52,61.4509633306146,66.6666666666667,8.75,0,0,0,100,100,96.25,100,61.3120744417257,66.0256410256411,48.75,0,16.5375,15
1997,"Hommes","proflib",94,91.2621359223301,0,0,53.6382978723404,53,57.4290001330359,56.5714285714286,8.51063829787234,0,100,100,0,0,95.7446808510638,100,56.8024506612565,56.5714285714286,29.7872340425532,0,16.7978723404255,14
1997,"Total","agri",18,100,0,0,55.6111111111111,56.5,69.2796236830615,78.4615384615385,0,0,100,100,0,0,94.4444444444444,100,69.2796236830615,78.4615384615385,27.7777777777778,0,21.1111111111111,20
1997,"Total","artisancommercantpdg",38,100,5.26315789473684,0,53.1052631578947,54.5,56.9171921367082,52.7777777777778,5.26315789473684,0,100,100,0,0,94.7368421052632,100,56.4387232371867,52.7777777777778,36.8421052631579,0,16.0789473684211,15
1997,"Total","cadsupprive",98,100,7.14285714285714,0,52.3061224489796,52,59.7117745984918,59.6296296296296,22.4489795918367,0,100,100,0,0,95.9183673469388,100,58.112656481501,57.1428571428571,30.6122448979592,0,15.969387755102,15.5
1997,"Total","cadsuppub",234,100,12.3931623931624,0,53.7264957264957,54,57.9908536904092,60.3030303030303,29.4871794871795,0,100,100,0,0,94.4444444444444,100,54.4347131848561,57.6923076923077,38.4615384615385,0,16.8717948717949,16
1997,"Total","collab",52,100,17.3076923076923,0,45.6538461538462,45,78.581486987879,85.9782608695652,90.3846153846154,100,0,0,0,0,90.3846153846154,100,56.5215994684718,62.0192307692307,40.3846153846154,0,16.3846153846154,16.5
