"legis.annee","genre","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Femmes","Ancien élu local",15,3.48837209302326,100,100,50.3333333333333,53,41.8317018438832,31.25,0,0,33.3333333333333,0,53.3333333333333,100,100,100,41.8317018438832,31.25,66.6666666666667,100,10.2,6
1978,"Femmes","Jamais élu local",6,5.66037735849057,100,100,40.3333333333333,38,9.50854700854702,0,0,0,50,50,50,50,0,0,9.50854700854702,0,66.6666666666667,100,1.5,0
1978,"Hommes","Ancien élu local",415,96.5116279069767,0,0,51.9927710843373,53,53.3846853330383,53.8461538461538,14.4578313253012,0,72.5301204819277,100,25.5421686746988,0,100,100,51.7377462157619,51.5151515151515,33.2530120481928,0,14.0626506024096,13
1978,"Hommes","Jamais élu local",100,94.3396226415094,0,0,48.72,50,18.157391592075,15.1515151515152,16,0,82,100,14,0,0,0,14.5467708553364,0,57,100,4.73,2
1978,"Total","Ancien élu local",430,100,3.48837209302326,0,51.9348837209302,53,52.981674281091,53.2291666666667,13.953488372093,0,71.1627906976744,100,26.5116279069767,0,100,100,51.3921865283708,51.5151515151515,34.4186046511628,0,13.9279069767442,13
1978,"Total","Jamais élu local",106,100,5.66037735849057,0,48.2452830188679,49,17.667834351498,14.7186147186147,15.0943396226415,0,80.188679245283,100,16.0377358490566,0,0,0,14.2615883734426,0,57.5471698113208,100,4.54716981132075,2
1997,"Femmes","Ancien élu local",60,9.66183574879227,100,100,51.65,50.5,52.5622220212751,53.5897435897435,20,0,61.6666666666667,100,26.6666666666667,0,100,100,47.6373550145002,50,65,100,13.6333333333333,14
1997,"Femmes","Jamais élu local",13,39.3939393939394,100,100,44.7692307692308,45,27.019505721739,19.047619047619,46.1538461538462,0,76.9230769230769,100,0,0,0,0,5.81944936783646,0,84.6153846153846,100,6.07692307692308,4
1997,"Hommes","Ancien élu local",561,90.3381642512077,0,0,52.9946524064171,53,63.2161004026766,65,22.9946524064171,0,76.6488413547237,100,15.5080213903743,0,100,100,60.549576796353,62.5,33.3333333333333,0,17.524064171123,17
1997,"Hommes","Jamais élu local",20,60.6060606060606,0,0,49.55,46.5,21.3372050171773,11.6666666666667,40,0,70,100,20,0,0,0,13.4801706042218,0,65,100,5.95,3
1997,"Total","Ancien élu local",621,100,9.66183574879227,0,52.8647342995169,52,62.1867401725895,63.6363636363636,22.7053140096618,0,75.2012882447665,100,16.5861513687601,0,100,100,59.3020191362706,60.4166666666667,36.3929146537842,0,17.1481481481481,16
1997,"Total","Jamais élu local",33,100,39.3939393939394,0,47.6666666666667,45,23.5756871129137,16.1290322580645,42.4242424242424,0,72.7272727272727,100,12.1212121212121,0,0,0,10.4623107232215,0,72.7272727272727,100,6,3
2007,"Femmes","Ancien élu local",114,18.5365853658537,100,100,54.1578947368421,55,57.4276513967232,60,21.9298245614035,0,57.0175438596491,100,27.1929824561403,0,100,100,52.3521005747377,50.7575757575758,43.859649122807,0,16.6315789473684,17
2007,"Femmes","Jamais élu local",9,37.5,100,100,47,46,31.3721976883419,13.0434782608696,44.4444444444444,0,66.6666666666667,100,11.1111111111111,0,0,0,6.60968660968661,0,77.7777777777778,100,4.88888888888889,5
2007,"Hommes","Ancien élu local",501,81.4634146341463,0,0,55.5409181636727,57,71.5629792418678,75,30.5389221556886,0,72.6546906187625,100,11.9760479041916,0,100,100,67.6664372911274,69.2307692307692,23.1536926147705,0,21.5888223552894,22
2007,"Hommes","Jamais élu local",15,62.5,0,0,45.0666666666667,43,34.4045691150954,30,46.6666666666667,0,66.6666666666667,100,6.66666666666667,0,0,0,13.1025748131011,0,53.3333333333333,100,4.73333333333333,5
2007,"Total","Ancien élu local",615,100,18.5365853658537,0,55.2845528455285,56,68.9427721291093,70.5882352941177,28.9430894308943,0,69.7560975609756,100,14.7967479674797,0,100,100,64.8276821924795,66.6666666666667,26.9918699186992,0,20.669918699187,21
2007,"Total","Jamais élu local",24,100,37.5,0,45.7916666666667,43.5,33.2674298300629,24.6963562753036,45.8333333333333,0,66.6666666666667,100,8.33333333333333,0,0,0,10.6677417368207,0,62.5,100,4.79166666666667,5
2012,"Femmes","Ancien élu local",147,25.4325259515571,100,100,53.7823129251701,54,54.2312087686773,53.8461538461538,23.1292517006803,0,53.7414965986395,100,30.6122448979592,0,100,100,48.5188066598276,47.8260869565217,55.1020408163265,100,15.4897959183673,14
2012,"Femmes","Jamais élu local",20,44.4444444444444,100,100,46.15,42.5,12.4182407237606,0,20,0,55,100,25,0,0,0,2.89184499710815,0,90,100,1.8,0
2012,"Hommes","Ancien élu local",431,74.5674740484429,0,0,55.4988399071926,56,72.2938628312796,75,37.5870069605568,0,67.0533642691415,100,13.4570765661253,0,100,100,66.240559609535,68.75,32.0185614849188,0,21.8236658932715,23
2012,"Hommes","Jamais élu local",25,55.5555555555556,0,0,45.6,46,14.2251082251082,0,28,0,68,100,12,0,0,0,3.53999623564841,0,88,100,2.96,0
2012,"Total","Ancien élu local",578,100,25.4325259515571,0,55.0622837370242,56,67.7000736492683,70.7317073170732,33.9100346020761,0,63.6678200692042,100,17.8200692041523,0,100,100,61.7334701915298,63.8888888888889,37.8892733564014,0,20.2128027681661,20
2012,"Total","Jamais élu local",45,100,44.4444444444444,0,45.8444444444444,46,13.4448699858899,0,24.4444444444444,0,62.2222222222222,100,17.7777777777778,0,0,0,3.26011274627875,0,88.8888888888889,100,2.44444444444444,0
2017,"Femmes","Ancien élu local",122,31.3624678663239,100,100,52.2049180327869,53,42.8695402277865,36.1111111111111,20.4918032786885,0,51.6393442622951,100,27.8688524590164,0,100,100,36.9228351771069,32.1428571428571,72.9508196721311,100,11.5081967213115,9
2017,"Femmes","Jamais élu local",106,54.0816326530612,100,100,42.9339622641509,41,7.49408636180052,0,17.9245283018868,0,78.3018867924528,100,14.1509433962264,0,0,0,1.03199174406605,0,97.1698113207547,100,0.981132075471698,0
2017,"Hommes","Ancien élu local",267,68.6375321336761,0,0,52.5880149812734,52,63.1364251579343,65.2173913043478,30.7116104868914,0,68.9138576779026,100,9.36329588014981,0,100,100,58.2878028379596,60,53.9325842696629,100,17.5131086142322,16
2017,"Hommes","Jamais élu local",90,45.9183673469388,0,0,41.9888888888889,41,10.3334571347027,0,21.1111111111111,0,78.8888888888889,100,12.2222222222222,0,0,0,0.460829493087558,0,96.6666666666667,100,1.57777777777778,0
2017,"Total","Ancien élu local",389,100,31.3624678663239,0,52.4678663239075,53,56.7473813298257,58.3333333333333,27.5064267352185,0,63.4961439588689,100,15.1670951156812,0,100,100,51.5525933944866,51.6129032258065,59.8971722365039,100,15.6298200514139,16
2017,"Total","Jamais élu local",196,100,54.0816326530612,100,42.5,41,8.80456518006308,0,19.3877551020408,0,78.5714285714286,100,13.265306122449,0,0,0,0.768378397460591,0,96.9387755102041,100,1.25510204081633,0
