"legis.annee","genre","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Femmes","Ancien député",7,2.14067278287462,100,100,53.1428571428571,53,55.6957749183065,60.7142857142857,0,0,57.1428571428571,100,28.5714285714286,0,71.4285714285714,100,55.6957749183065,60.7142857142857,0,0,15.8571428571429,17
1978,"Femmes","Primo-député",14,6.69856459330144,100,100,44.6428571428571,43,21.0468846629561,10.2678571428571,0,0,28.5714285714286,0,64.2857142857143,100,71.4285714285714,100,21.0468846629561,10.2678571428571,100,100,3.64285714285714,1.5
1978,"Hommes","Ancien député",320,97.8593272171254,0,0,55.221875,56,56.8034832569026,57.5757575757576,15.3125,0,73.125,100,25,0,86.5625,100,55.0873648146413,55.0055617352614,0,0,16.140625,16
1978,"Hommes","Primo-député",195,93.3014354066986,0,0,45.0153846153846,44,29.7090714369721,23.3333333333333,13.8461538461538,0,76.4102564102564,100,20.5128205128205,0,70.7692307692308,100,27.168641150716,20,100,100,5.86666666666667,5
1978,"Total","Ancien député",327,100,2.14067278287462,0,55.177370030581,56,56.7797708459846,57.5757575757576,14.9847094801223,0,72.782874617737,100,25.0764525993884,0,86.2385321100917,100,55.1003888841387,55.1724137931034,0,0,16.1345565749235,16
1978,"Total","Primo-député",209,100,6.69856459330144,0,44.9904306220096,44,29.1288292607222,22.7272727272727,12.9186602870813,0,73.2057416267943,100,23.444976076555,0,70.8133971291866,100,26.7585713381388,18.5185185185185,100,100,5.7177033492823,5
1997,"Femmes","Ancien député",23,5.69306930693069,100,100,54.4347826086956,55,57.9853919488585,56.6666666666667,26.0869565217391,0,60.8695652173913,100,21.7391304347826,0,91.304347826087,100,51.3246294657276,53.3333333333333,0,0,16.3913043478261,16
1997,"Femmes","Primo-député",50,20,100,100,48.58,49,43.4264576167073,44.9494949494949,24,0,66,100,22,0,78,100,35.068553298803,31.2777777777778,100,100,10.4,10
1997,"Hommes","Ancien député",381,94.3069306930693,0,0,55.0656167979003,54,66.3680259501964,68.4210526315789,23.3595800524934,0,80.0524934383202,100,12.0734908136483,0,98.1627296587927,100,63.949242188494,66.6666666666667,0,0,19.6614173228346,20
1997,"Hommes","Primo-député",200,80,0,0,48.705,49,53.0237926961014,52.9411764705882,24,0,69.5,100,22.5,0,93.5,100,49.3662736051113,50,100,100,12.295,13
1997,"Total","Ancien député",404,100,5.69306930693069,0,55.029702970297,54,65.8907967867539,68.1334622823985,23.5148514851485,0,78.960396039604,100,12.6237623762376,0,97.7722772277228,100,63.2305142364553,65.2173913043478,0,0,19.4752475247525,20
1997,"Total","Primo-député",250,100,20,0,48.68,49,51.1043256802226,51.8518518518518,24,0,68.8,100,22.4,0,90.4,100,46.5067295438496,47.4424552429667,100,100,11.916,13
2007,"Femmes","Ancien député",66,14.410480349345,100,100,56.2878787878788,57.5,63.08856853415,68.734335839599,25.7575757575758,0,59.0909090909091,100,24.2424242424242,0,96.969696969697,100,57.6410357545402,60.3571428571428,0,0,19.5151515151515,18.5
2007,"Femmes","Primo-député",57,31.4917127071823,100,100,50.5614035087719,50,46.758886231011,44.4444444444444,21.0526315789474,0,56.140350877193,100,28.0701754385965,0,87.719298245614,100,39.005583951011,38.7096774193548,100,100,11.4385964912281,12
2007,"Hommes","Ancien député",392,85.589519650655,0,0,56.8035714285714,57.5,73.0477446503685,75,31.6326530612245,0,74.4897959183673,100,10.969387755102,0,98.2142857142857,100,69.5364095465386,70.1851851851852,0,0,22.9158163265306,24
2007,"Hommes","Primo-député",124,68.5082872928177,0,0,50.2822580645161,51,62.3742357577239,68.5714285714286,29.0322580645161,0,66.1290322580645,100,14.5161290322581,0,93.5483870967742,100,55.1544448613564,58.1168831168831,100,100,15.3548387096774,13.5
2007,"Total","Ancien député",458,100,14.410480349345,0,56.7292576419214,57.5,71.6125795331842,73.2520325203252,30.7860262008734,0,72.2707423580786,100,12.882096069869,0,98.0349344978166,100,67.8222290437616,68.9903846153846,0,0,22.4257641921397,24
2007,"Total","Primo-député",181,100,31.4917127071823,0,50.3701657458564,51,57.4566947465491,60,26.5193370165746,0,62.9834254143646,100,18.7845303867403,0,91.7127071823204,100,50.068891977988,50,100,100,14.121546961326,12
2012,"Femmes","Ancien député",68,18.6813186813187,100,100,56.3823529411765,58,65.7973055518705,68.0909090909091,27.9411764705882,0,50,50,30.8823529411765,0,97.0588235294118,100,59.4416329408339,58.4770114942528,0,0,20.3382352941176,20
2012,"Femmes","Primo-député",99,38.2239382239382,100,100,50.4545454545455,51,38.0991580124471,34.9294354838709,19.1919191919192,0,56.5656565656566,100,29.2929292929293,0,81.8181818181818,100,32.0936591220715,31.9642857142857,100,100,9.39393939393939,10
2012,"Hommes","Ancien député",296,81.3186813186813,0,0,58.3006756756757,60,76.1044399498145,77.6388888888889,34.7972972972973,0,72.2972972972973,100,11.8243243243243,0,98.9864864864865,100,72.2288857837389,73.541887592789,0,0,24.9797297297297,25
2012,"Hommes","Primo-député",160,61.7760617760618,0,0,48.76875,48,56.1710522547756,61.3247863247863,41.25,0,57.5,100,16.25,0,86.25,100,45.3651931600879,46.8860164512338,100,100,13.0375,12.5
2012,"Total","Ancien député",364,100,18.6813186813187,0,57.9423076923077,59,74.1789313260228,76.0869565217391,33.5164835164835,0,68.1318681318681,100,15.3846153846154,0,98.6263736263736,100,69.8400583295699,71.4285714285714,0,0,24.1126373626374,23
2012,"Total","Primo-député",259,100,38.2239382239382,0,49.4131274131274,50,49.3065342867594,50,32.8185328185328,0,57.1428571428571,100,21.2355212355212,0,84.5559845559846,100,40.3240678278181,40.3703703703704,100,100,11.6447876447876,11
2017,"Femmes","Ancien député",36,22.2222222222222,100,100,55.5277777777778,56.5,60.5469996488539,60.9126984126984,27.7777777777778,0,52.7777777777778,100,13.8888888888889,0,91.6666666666667,100,52.7176954673076,54.1666666666667,0,0,17.6111111111111,16.5
2017,"Femmes","Primo-député",192,45.3900709219858,100,100,46.4635416666667,46.5,20.0904240231427,8.33333333333333,17.7083333333333,0,66.1458333333333,100,22.9166666666667,0,46.3541666666667,0,14.2152250675963,0,100,100,4.55208333333333,2
2017,"Hommes","Ancien député",126,77.7777777777778,0,0,56.484126984127,56,74.4191802900814,76.7942583732058,40.4761904761905,0,69.0476190476191,100,6.34920634920635,0,97.6190476190476,100,68.2392331305361,68.5213414634146,0,0,23.047619047619,23.5
2017,"Hommes","Primo-député",231,54.6099290780142,0,0,46.3333333333333,47,36.1761881765309,29.4117647058824,21.6450216450216,0,72.7272727272727,100,12.1212121212121,0,62.3376623376623,100,30.0855852925311,20,100,100,8.28571428571429,5
2017,"Total","Ancien député",162,100,22.2222222222222,0,56.2716049382716,56,71.3364734809198,73.3333333333333,37.6543209876543,0,65.4320987654321,100,8.02469135802469,0,96.2962962962963,100,64.7900025387076,64.7058823529412,0,0,21.8395061728395,22
2017,"Total","Primo-député",423,100,45.3900709219858,0,46.3924349881797,47,28.8609954305853,18.4697855750487,19.8581560283688,0,69.7399527186761,100,17.0212765957447,0,55.0827423167849,100,22.8683500473822,11.7692307692308,100,100,6.59101654846336,3
2022,"Femmes","Ancien député",108,36.4864864864865,100,100,52.1944444444444,52.5,47.0331714847021,36.1305361305361,27.7777777777778,0,61.1111111111111,100,18.5185185185185,0,62.962962962963,100,40.6861879332374,33.3333333333333,0,0,12.4166666666667,8
2022,"Femmes","Primo-député",118,39.202657807309,100,100,46.8389830508475,47,32.5352021094904,22.2222222222222,23.728813559322,0,56.7796610169492,100,27.1186440677966,0,66.9491525423729,100,23.8599709623198,9.09090909090909,100,100,6.61016949152542,3
2022,"Hommes","Ancien député",188,63.5135135135135,0,0,52.9202127659574,54,63.051390500704,63.0681818181818,32.9787234042553,0,69.6808510638298,100,7.97872340425532,0,77.1276595744681,100,57.1941436470461,55.7777777777778,0,0,17.281914893617,14
2022,"Hommes","Primo-député",183,60.797342192691,0,0,44.327868852459,43,45.76434897728,43.5215946843854,37.7049180327869,0,51.3661202185792,100,24.0437158469945,0,73.224043715847,100,34.0693127447229,29.4372294372294,100,100,7.74863387978142,7
2022,"Total","Ancien député",296,100,36.4864864864865,0,52.6554054054054,54,57.2069051840546,55.0509337860781,31.0810810810811,0,66.554054054054,100,11.8243243243243,0,71.9594594594595,100,51.1709706163321,50,0,0,15.5067567567568,13
2022,"Total","Primo-député",301,100,39.202657807309,0,45.312292358804,45,40.5528668778477,36.3636363636364,32.2259136212625,0,53.4883720930233,100,25.2491694352159,0,70.7641196013289,100,30.0474508304429,20.9302325581395,100,100,7.30232558139535,6
2024,"Femmes","Ancien député",164,37.5286041189931,100,100,51.5182926829268,52,46.7201516769292,41.8010752688172,26.219512195122,0,59.1463414634146,100,21.9512195121951,0,66.4634146341463,100,40.3481171301514,36.6028708133971,0,0,11.9024390243902,10
2024,"Femmes","Primo-député",41,29.2857142857143,100,100,49.609756097561,52,42.1742716263486,49.074074074074,36.5853658536585,0,63.4146341463415,100,12.1951219512195,0,63.4146341463415,100,31.6195304409359,25.2352941176471,100,100,9.48780487804878,5
2024,"Hommes","Ancien député",273,62.4713958810069,0,0,50.1428571428571,51,57.3679005745134,55.5555555555556,35.5311355311355,0,60.4395604395604,100,16.4835164835165,0,75.8241758241758,100,50.4589807792719,50,0,0,13.8241758241758,10
2024,"Hommes","Primo-député",99,70.7142857142857,0,0,45.1111111111111,43,41.1275569737996,40,37.3737373737374,0,56.5656565656566,100,18.1818181818182,0,61.6161616161616,100,30.8800338794426,21.5384615384616,100,100,7.6969696969697,4
2024,"Total","Ancien député",437,100,37.5286041189931,0,50.6590389016018,52,53.3535768522058,51.4285714285714,32.0366132723112,0,59.954233409611,100,18.5354691075515,0,72.3112128146453,100,46.6470689667299,43.4782608695652,0,0,13.1029748283753,10
2024,"Total","Primo-député",140,100,29.2857142857143,0,46.4285714285714,46,41.4354142245493,40.5128205128205,37.1428571428571,0,58.5714285714286,100,16.4285714285714,0,62.1428571428571,100,31.0975328681171,23.5384615384616,100,100,8.22142857142857,5
