"legis.annee","groupe.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Communiste","agri",3,11.1111111111111,0,0,55.3333333333333,54,40.2298850574713,20.6896551724138,0,0,100,100,0,0,66.6666666666667,100,40.2298850574713,20.6896551724138,33.3333333333333,0,13,6
1978,"Communiste","cadsupprive",3,4,33.3333333333333,0,42.3333333333333,44,24.3508771929825,21.0526315789474,0,0,100,100,0,0,66.6666666666667,100,24.3508771929825,21.0526315789474,33.3333333333333,0,5.66666666666667,4
1978,"Communiste","cadsuppub",11,6.66666666666667,18.1818181818182,0,49.5454545454545,48,29.0012490803005,25,0,0,100,100,0,0,54.5454545454545,100,29.0012490803005,25,54.5454545454545,100,8.09090909090909,6
1978,"Communiste","employe",45,83.3333333333333,13.3333333333333,0,54.1333333333333,54,47.7552720922175,48.1481481481481,0,0,0,0,100,100,82.2222222222222,100,47.7552720922175,48.1481481481481,24.4444444444444,0,13.8666666666667,13
1978,"Communiste","NA",2,50,50,50,41.5,41.5,1.78571428571428,1.78571428571428,0,0,0,0,0,0,50,50,1.78571428571428,1.78571428571428,100,100,0.5,0.5
1978,"Communiste","profinter",22,28.5714285714286,9.09090909090909,0,47.9090909090909,46,48.3837886321703,46.2121212121212,9.09090909090909,0,0,0,100,100,90.9090909090909,100,46.947346286637,46.2121212121212,50,50,12.4090909090909,11
1978,"Communiste","proflib",2,1.94174757281553,50,50,39.5,39.5,65.2173913043478,65.2173913043478,0,0,100,100,0,0,50,50,65.2173913043478,65.2173913043478,50,50,6.5,6.5
1978,"Non-inscrits","agri",1,3.7037037037037,0,0,71,71,63.6363636363636,63.6363636363636,0,0,100,100,0,0,100,100,63.6363636363636,63.6363636363636,0,0,21,21
1978,"Non-inscrits","artisancommercantpdg",1,4.76190476190476,0,0,47,47,13.6363636363636,13.6363636363636,0,0,100,100,0,0,100,100,13.6363636363636,13.6363636363636,100,100,3,3
1978,"Non-inscrits","cadsupprive",1,1.33333333333333,0,0,45,45,25,25,0,0,100,100,0,0,0,0,25,25,0,0,5,5
1978,"Non-inscrits","cadsuppub",4,2.42424242424242,0,0,52.5,54.5,51.6882535027696,49.7474747474747,25,0,100,100,0,0,100,100,44.5453963599125,42.6587301587302,0,0,14.5,15
1978,"Non-inscrits","NA",1,25,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
1978,"Non-inscrits","profinter",3,3.8961038961039,33.3333333333333,0,54,55,29.1919191919192,24.2424242424242,0,0,0,0,100,100,66.6666666666667,100,29.1919191919192,24.2424242424242,66.6666666666667,100,9,8
1978,"Non-inscrits","proflib",3,2.9126213592233,0,0,61,63,40.5844155844156,42.4242424242424,0,0,100,100,0,0,100,100,40.5844155844156,42.4242424242424,33.3333333333333,0,13.3333333333333,14
1978,"RPR/UMP/LR","agri",12,44.4444444444444,0,0,49.9166666666667,47.5,53.9835258499446,57.5,0,0,100,100,0,0,91.6666666666667,100,53.9835258499446,57.5,50,50,12.75,10.5
1978,"RPR/UMP/LR","artisancommercantpdg",13,61.9047619047619,7.69230769230769,0,58.1538461538462,55,45.0639600267392,39.3939393939394,7.69230769230769,0,100,100,0,0,46.1538461538462,0,45.0639600267392,39.3939393939394,23.0769230769231,0,13.8461538461538,13
1978,"RPR/UMP/LR","cadsupprive",29,38.6666666666667,0,0,54.9310344827586,57,44.5468229088919,48.4848484848485,20.6896551724138,0,100,100,0,0,72.4137931034483,100,43.0131744105604,48.4848484848485,34.4827586206897,0,13.4137931034483,16
1978,"RPR/UMP/LR","cadsuppub",58,35.1515151515151,1.72413793103448,0,51.8448275862069,53,55.5778533699897,57.9796264855688,43.1034482758621,0,100,100,0,0,82.7586206896552,100,49.2314182000648,51.5151515151515,32.7586206896552,0,14.2241379310345,13
1978,"RPR/UMP/LR","collab",4,40,0,0,43.25,44.5,83.8348214285714,84.8571428571428,100,100,0,0,0,0,100,100,59.7723214285714,51.6875,25,0,14,16.5
1978,"RPR/UMP/LR","employe",3,5.55555555555556,0,0,56.6666666666667,61,38.5858585858586,48.4848484848485,0,0,0,0,100,100,100,100,38.5858585858586,48.4848484848485,33.3333333333333,0,12.3333333333333,16
1978,"RPR/UMP/LR","NA",1,25,100,100,65,65,93.9393939393939,93.9393939393939,0,0,0,0,0,0,100,100,93.9393939393939,93.9393939393939,0,0,31,31
1978,"RPR/UMP/LR","profinter",13,16.8831168831169,0,0,51.6153846153846,51,48.2885148193435,50,7.69230769230769,0,0,0,100,100,92.3076923076923,100,47.6474891783179,50,38.4615384615385,0,12,11
