"legis.annee","groupe.pol","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Communiste","Femmes",13,61.9047619047619,100,100,43,41,32.3072666963222,25,0,0,30.7692307692308,0,61.5384615384615,100,76.9230769230769,100,32.3072666963222,25,69.2307692307692,100,5.84615384615385,5
1978,"Communiste","Hommes",75,14.5631067961165,0,0,52.4133333333333,52,45.8693115309351,42.4242424242424,2.66666666666667,0,20,0,78.6666666666667,100,78.6666666666667,100,45.4479551095787,42.4242424242424,32,0,13.0666666666667,12
1978,"Non-inscrits","Femmes",1,4.76190476190476,100,100,49,49,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0
1978,"Non-inscrits","Hommes",13,2.52427184466019,0,0,54.1538461538462,55,39.8734419702161,38.8888888888889,7.69230769230769,0,76.9230769230769,100,15.3846153846154,0,84.6153846153846,100,37.675639772414,38.8888888888889,30.7692307692308,0,11.8461538461538,10
1978,"RPR/UMP/LR","Femmes",3,14.2857142857143,100,100,60,64,66.7443667443667,90.9090909090909,0,0,66.6666666666667,100,0,0,66.6666666666667,100,66.7443667443667,90.9090909090909,0,0,21.6666666666667,30
1978,"RPR/UMP/LR","Hommes",171,33.2038834951456,0,0,53.7309941520468,55,52.25892599066,55.5555555555556,22.2222222222222,0,88.3040935672515,100,9.35672514619883,0,78.9473684210526,100,49.1814798577273,51.6129032258065,29.2397660818713,0,14.2631578947368,13
1978,"Socialiste","Femmes",2,9.52380952380952,100,100,46,46,19.6969696969697,19.6969696969697,0,0,50,50,50,50,50,50,19.6969696969697,19.6969696969697,100,100,6.5,6.5
1978,"Socialiste","Hommes",119,23.1067961165049,0,0,48.0840336134454,47,41.6761545903798,35.7142857142857,5.88235294117647,0,71.4285714285714,100,26.0504201680672,0,85.7142857142857,100,40.9336051569152,35.7142857142857,45.3781512605042,0,9.8655462184874,7
1978,"Total","Femmes",21,100,100,100,47.4761904761905,48,32.5965147480729,21.875,0,0,38.0952380952381,0,52.3809523809524,100,71.4285714285714,100,32.5965147480729,21.875,66.6666666666667,100,7.71428571428571,5
1978,"Total","Hommes",515,100,0,0,51.3572815533981,53,46.5444341212008,44.8275862068966,14.7572815533981,0,74.368932038835,100,23.3009708737864,0,80.5825242718447,100,44.5161976020871,43.4782608695652,37.8640776699029,0,12.2504854368932,11
1978,"UDF/MODEM/UDI/NC/Dém","Femmes",2,9.52380952380952,100,100,58.5,58.5,12.4526515151515,12.4526515151515,0,0,50,50,50,50,100,100,12.4526515151515,12.4526515151515,100,100,4,4
1978,"UDF/MODEM/UDI/NC/Dém","Hommes",137,26.6019417475728,0,0,50.3941605839416,52,44.6430052651633,41.6666666666667,20.4379562043796,0,89.051094890511,100,8.75912408759124,0,78.8321167883212,100,41.9440127406626,41.1764705882353,45.985401459854,0,11.4014598540146,11
1997,"Communiste","Femmes",4,5.47945205479452,100,100,52,52.5,59.2753623188406,53.3333333333333,0,0,25,0,50,50,100,100,59.2753623188406,53.3333333333333,25,0,16,16
1997,"Communiste","Hommes",37,6.36833046471601,0,0,54.8378378378378,54,60.3696630517633,64.5161290322581,0,0,35.1351351351351,0,62.1621621621622,100,94.5945945945946,100,60.3696630517633,64.5161290322581,51.3513513513514,100,18.2702702702703,20
1997,"Non-inscrits","Hommes",5,0.860585197934596,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
1997,"Radical","Femmes",5,6.84931506849315,100,100,47.4,47,51.1853832442068,57.1428571428571,0,0,60,100,40,0,100,100,51.1853832442068,57.1428571428571,80,100,11.4,14
1997,"Radical","Hommes",32,5.50774526678141,0,0,55.65625,55,56.7058578217995,61.9868637110016,6.25,0,81.25,100,12.5,0,100,100,55.3837424371841,61.9868637110016,46.875,0,17.5,18
1997,"RPR/UMP/LR","Femmes",9,12.3287671232877,100,100,52.4444444444444,51,50.9935294355584,57.6923076923077,22.2222222222222,0,77.7777777777778,100,11.1111111111111,0,100,100,47.9664639084929,53.8461538461538,44.4444444444444,0,13.7777777777778,15
1997,"RPR/UMP/LR","Hommes",148,25.473321858864,0,0,54.0743243243243,54,60.831435203508,60,28.3783783783784,0,83.7837837837838,100,7.43243243243243,0,97.2972972972973,100,57.5758404945615,56.5714285714286,16.8918918918919,0,17.4054054054054,15
1997,"Socialiste","Femmes",47,64.3835616438356,100,100,48.9787234042553,50,45.9350915941538,50,27.6595744680851,0,61.7021276595745,100,23.4042553191489,0,76.5957446808511,100,36.0425308762852,33.3333333333333,82.9787234042553,100,11.063829787234,13
1997,"Socialiste","Hommes",244,41.9965576592083,0,0,51.1967213114754,51,61.7638000320154,64.5161290322581,23.3606557377049,0,71.3114754098361,100,18.8524590163934,0,95.9016393442623,100,58.339924312425,60.6060606060606,49.1803278688525,0,16.1188524590164,16
1997,"Total","Femmes",73,100,100,100,50.4246575342466,50,48.013519118618,51.7241379310345,24.6575342465753,0,64.3835616438356,100,21.9178082191781,0,82.1917808219178,100,40.1903307212587,42.8571428571429,68.4931506849315,100,12.2876712328767,14
1997,"Total","Hommes",581,100,0,0,52.8760757314974,53,61.7744861036921,63.6363636363636,23.5800344234079,0,76.4199655765921,100,15.6626506024096,0,96.5576592082616,100,58.9292874265722,60.8695652173913,34.4234079173838,0,17.1256454388985,16
1997,"UDF/MODEM/UDI/NC/Dém","Femmes",8,10.958904109589,100,100,57.75,57,49.2584325396825,50.8928571428572,37.5,0,87.5,100,0,0,75,100,39.3960813492064,45.6845238095238,25,0,16.5,20
1997,"UDF/MODEM/UDI/NC/Dém","Hommes",115,19.7934595524957,0,0,53.3739130434783,53,65.1004917400925,68.0851063829787,30.4347826086957,0,89.5652173913043,100,5.21739130434783,0,96.5217391304348,100,62.5724807069008,66.6666666666667,15.6521739130435,0,18.4260869565217,18
2007,"Communiste","Femmes",6,4.8780487804878,100,100,55.5,56.5,60.619399641577,64.8200757575758,16.6666666666667,0,16.6666666666667,0,66.6666666666667,100,100,100,60.619399641577,64.8200757575758,33.3333333333333,0,18.5,17.5
2007,"Communiste","Hommes",20,3.87596899224806,0,0,59.75,61,77.4478079704598,80,5,0,30,0,65,100,100,100,75.7811413037931,78.4615384615385,25,0,26.45,27
2007,"Non-inscrits","Femmes",1,0.813008130081301,100,100,44,44,94.7368421052632,94.7368421052632,100,100,0,0,0,0,100,100,94.7368421052632,94.7368421052632,0,0,18,18
2007,"Non-inscrits","Hommes",7,1.35658914728682,0,0,51.4285714285714,52,81.2383628915887,90.3225806451613,42.8571428571429,0,71.4285714285714,100,28.5714285714286,0,100,100,75.2485769478857,80.6451612903226,42.8571428571429,0,20.8571428571429,18
2007,"RPR/UMP/LR","Femmes",58,47.1544715447154,100,100,53.5344827586207,54.5,52.8222560975603,53.3596837944664,22.4137931034483,0,63.7931034482759,100,18.9655172413793,0,93.1034482758621,100,48.4714879480405,49,36.2068965517241,0,15.2241379310345,12
