"legis.annee","primodep","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien député","Ancien collaborateur",49,64.4736842105263,0,0,53.0612244897959,55,65.7230529965872,66.6666666666667,100,100,85.7142857142857,100,4.08163265306122,0,91.8367346938775,100,54.5157488838601,54.5454545454545,0,0,17.6734693877551,18
1978,"Ancien député","Jamais collaborateur",278,60.4347826086956,2.51798561151079,0,55.5503597122302,56,55.2034369417417,55.3639846743295,0,0,70.5035971223022,100,28.7769784172662,0,85.2517985611511,100,55.2034369417417,55.3639846743295,0,0,15.863309352518,15.5
1978,"Primo-député","Ancien collaborateur",27,35.5263157894737,0,0,42.4814814814815,41,38.729087682052,28.5714285714286,100,100,77.7777777777778,100,11.1111111111111,0,55.5555555555556,100,20.3815356146471,9.52380952380952,100,100,6.40740740740741,5
1978,"Primo-député","Jamais collaborateur",182,39.5652173913044,7.69230769230769,0,45.3626373626374,45,27.7046150993162,21.3203463203463,0,0,72.5274725274725,100,25.2747252747253,0,73.0769230769231,100,27.7046150993162,21.3203463203463,100,100,5.61538461538461,4
1978,"Total","Ancien collaborateur",76,100,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Total","Jamais collaborateur",460,100,4.56521739130435,0,51.5195652173913,53,44.3234682997386,42.1052631578947,0,0,71.304347826087,100,27.3913043478261,0,80.4347826086957,100,44.3234682997386,42.1052631578947,39.5652173913044,0,11.8086956521739,10.5
1997,"Ancien député","Ancien collaborateur",95,61.2903225806452,6.31578947368421,0,52,51,71.748092091859,75,100,100,63.1578947368421,100,5.26315789473684,0,96.8421052631579,100,60.4348905095365,64.2857142857143,0,0,18.8315789473684,18
1997,"Ancien député","Jamais collaborateur",309,61.9238476953908,5.50161812297735,0,55.9611650485437,55,64.0900102042782,65.3846153846154,0,0,83.8187702265372,100,14.8867313915858,0,98.0582524271845,100,64.0900102042782,65.3846153846154,0,0,19.6731391585761,20
1997,"Primo-député","Ancien collaborateur",60,38.7096774193548,20,0,44.05,42.5,61.1096162883027,62.6984126984127,100,100,68.3333333333333,100,3.33333333333333,0,81.6666666666667,100,41.952965720082,36.8055555555556,100,100,11.15,11
1997,"Primo-député","Jamais collaborateur",190,38.0761523046092,20,0,50.1421052631579,50,47.9447602250394,50,0,0,68.9473684210526,100,28.4210526315789,0,93.1578947368421,100,47.9447602250394,50,100,100,12.1578947368421,14
1997,"Total","Ancien collaborateur",155,100,11.6129032258065,0,48.9225806451613,48,67.6299724259663,72.4137931034483,100,100,65.1612903225806,100,4.51612903225806,0,90.9677419354839,100,53.2805970426509,56.25,38.7096774193548,0,15.858064516129,15
1997,"Total","Jamais collaborateur",499,100,11.0220440881764,0,53.7454909819639,53,57.9425202322234,58.8235294117647,0,0,78.1563126252505,100,20.0400801603206,0,96.1923847695391,100,57.9425202322234,58.8235294117647,38.0761523046092,0,16.811623246493,16
2007,"Ancien député","Ancien collaborateur",141,74.6031746031746,12.0567375886525,0,53.9858156028369,54,81.0056074492548,85.7142857142857,100,100,50.354609929078,100,5.67375886524823,0,97.8723404255319,100,68.6936888382225,70.3703703703704,0,0,23.113475177305,23
2007,"Ancien député","Jamais collaborateur",317,70.4444444444444,15.4574132492114,0,57.9495268138801,59,67.4346081257206,68.5714285714286,0,0,82.018927444795,100,16.0883280757098,0,98.1072555205047,100,67.4346081257206,68.5714285714286,0,0,22.1198738170347,24
2007,"Primo-député","Ancien collaborateur",48,25.3968253968254,25,0,45.75,44.5,68.2719878721727,69.2105263157895,100,100,45.8333333333333,0,2.08333333333333,0,83.3333333333333,100,40.4138149323902,37.5,100,100,12.8333333333333,12
2007,"Primo-député","Jamais collaborateur",133,29.5555555555556,33.8345864661654,0,52.0375939849624,52,53.5534310621135,52.1739130434783,0,0,69.1729323308271,100,24.812030075188,0,94.7368421052632,100,53.5534310621135,52.1739130434783,100,100,14.5864661654135,12
2007,"Total","Ancien collaborateur",189,100,15.3439153439153,0,51.8941798941799,52,77.7716723185673,83.3333333333333,100,100,49.2063492063492,0,4.76190476190476,0,94.1798941798942,100,61.5114986399159,63.3333333333333,25.3968253968254,0,20.5026455026455,20
2007,"Total","Jamais collaborateur",450,100,20.8888888888889,0,56.2022222222222,57,63.3319491269211,66.6666666666667,0,0,78.2222222222222,100,18.6666666666667,0,97.1111111111111,100,63.3319491269211,66.6666666666667,29.5555555555556,0,19.8933333333333,19.5
2012,"Ancien député","Ancien collaborateur",122,58.9371980676328,15.5737704918033,0,54.8196721311475,54,82.7053106968709,87.2983870967742,100,100,52.4590163934426,100,4.0983606557377,0,98.3606557377049,100,69.7598207730277,71.1309523809524,0,0,24.2786885245902,24
2012,"Ancien député","Jamais collaborateur",242,58.1730769230769,20.2479338842975,0,59.5165289256198,61,69.8805086679919,71.4285714285714,0,0,76.0330578512397,100,21.0743801652893,0,98.7603305785124,100,69.8805086679919,71.4285714285714,0,0,24.0289256198347,23
2012,"Primo-député","Ancien collaborateur",85,41.0628019323672,22.3529411764706,0,45.3882352941176,45,70.6582644465456,75,100,100,36.4705882352941,0,8.23529411764706,0,89.4117647058823,100,43.3938368417591,42.3076923076923,100,100,13.7058823529412,13
2012,"Primo-député","Jamais collaborateur",174,41.8269230769231,45.9770114942529,0,51.3793103448276,52,38.8157998151881,40,0,0,67.2413793103448,100,27.5862068965517,0,82.183908045977,100,38.8157998151881,40,100,100,10.6379310344828,11
2012,"Total","Ancien collaborateur",207,100,18.3574879227053,0,50.9468599033816,51,77.7584559563991,83.3333333333333,100,100,45.8937198067633,0,5.79710144927536,0,94.6859903381642,100,58.9332090138111,59.0909090909091,41.0628019323672,0,19.9371980676328,19
2012,"Total","Jamais collaborateur",416,100,31.0096153846154,0,56.1129807692308,57,56.9306420859797,62.1621621621622,0,0,72.3557692307692,100,23.7980769230769,0,91.8269230769231,100,56.9306420859797,62.1621621621622,41.8269230769231,0,18.4278846153846,18
2017,"Ancien député","Ancien collaborateur",61,42.0689655172414,16.3934426229508,0,53.2786885245902,55,84.472969555924,88.8888888888889,100,100,36.0655737704918,0,3.27868852459016,0,93.4426229508197,100,67.0872598405407,66.6666666666667,0,0,23.4754098360656,22
2017,"Ancien député","Jamais collaborateur",101,22.9545454545455,25.7425742574257,0,58.0792079207921,59,63.4025501088875,64.1025641025641,0,0,83.1683168316832,100,10.8910891089109,0,98.019801980198,100,63.4025501088875,64.1025641025641,0,0,20.8514851485149,22
2017,"Primo-député","Ancien collaborateur",84,57.9310344827586,40.4761904761905,0,43.6904761904762,44.5,60.8313454055452,66.0919540229885,100,100,38.0952380952381,0,3.57142857142857,0,59.5238095238095,100,30.8681184895295,19.5744680851064,100,100,11.4642857142857,9
