"legis.annee","primodep","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien député","Ancien élu local",282,65.5813953488372,1.77304964539007,0,55.4007092198582,56,60.4823265647824,60.6060606060606,15.9574468085106,0,71.9858156028369,100,25.886524822695,0,100,100,58.7136091258688,57.5757575757576,0,0,17.209219858156,17
1978,"Ancien député","Jamais élu local",45,42.4528301886792,4.44444444444444,0,53.7777777777778,54,33.5770883415189,30.4347826086957,8.88888888888889,0,77.7777777777778,100,20,0,0,0,32.4575420359635,27.2727272727273,0,0,9.4,7
1978,"Primo-député","Ancien élu local",148,34.4186046511628,6.75675675675676,0,45.3310810810811,45,38.6898908756791,32.2916666666667,10.1351351351351,0,69.5945945945946,100,27.7027027027027,0,100,100,37.4419083358409,31.0344827586207,100,100,7.67567567567568,6.5
1978,"Primo-député","Jamais élu local",61,57.5471698113208,6.55737704918033,0,44.1639344262295,43,5.93149944082675,0,19.672131147541,0,81.9672131147541,100,13.1147540983607,0,0,0,0.838343868304298,0,100,100,0.967213114754098,0
1978,"Total","Ancien élu local",430,100,3.48837209302326,0,51.9348837209302,53,52.981674281091,53.2291666666667,13.953488372093,0,71.1627906976744,100,26.5116279069767,0,100,100,51.3921865283708,51.5151515151515,34.4186046511628,0,13.9279069767442,13
1978,"Total","Jamais élu local",106,100,5.66037735849057,0,48.2452830188679,49,17.667834351498,14.7186147186147,15.0943396226415,0,80.188679245283,100,16.0377358490566,0,0,0,14.2615883734426,0,57.5471698113208,100,4.54716981132075,2
1997,"Ancien député","Ancien élu local",395,63.6070853462158,5.31645569620253,0,55.0860759493671,54,66.5451946773143,68.4210526315789,23.2911392405063,0,78.9873417721519,100,12.6582278481013,0,100,100,63.8784201325234,65.5172413793103,0,0,19.6632911392405,20
1997,"Ancien député","Jamais élu local",9,27.2727272727273,22.2222222222222,0,52.5555555555556,46,37.170000478824,33.3333333333333,33.3333333333333,0,77.7777777777778,100,11.1111111111111,0,0,0,34.7946443534679,30,0,0,11.2222222222222,9
1997,"Primo-député","Ancien élu local",226,36.3929146537842,17.2566371681416,0,48.9823008849558,49,54.5690873877828,53.8461538461538,21.6814159292035,0,68.5840707964602,100,23.4513274336283,0,100,100,51.3034421737934,50.6410256410256,100,100,12.7522123893805,13.5
1997,"Primo-député","Jamais élu local",24,72.7272727272727,45.8333333333333,0,45.8333333333333,45,18.4778196006974,3.22580645161291,45.8333333333333,0,70.8333333333333,100,12.5,0,0,0,1.33768561187916,0,100,100,4.04166666666667,0.5
