"legis.annee","primodep","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien député","Femmes",7,33.3333333333333,100,100,53.1428571428571,53,55.6957749183065,60.7142857142857,0,0,57.1428571428571,100,28.5714285714286,0,71.4285714285714,100,55.6957749183065,60.7142857142857,0,0,15.8571428571429,17
1978,"Ancien député","Hommes",320,62.1359223300971,0,0,55.221875,56,56.8034832569026,57.5757575757576,15.3125,0,73.125,100,25,0,86.5625,100,55.0873648146413,55.0055617352614,0,0,16.140625,16
1978,"Primo-député","Femmes",14,66.6666666666667,100,100,44.6428571428571,43,21.0468846629561,10.2678571428571,0,0,28.5714285714286,0,64.2857142857143,100,71.4285714285714,100,21.0468846629561,10.2678571428571,100,100,3.64285714285714,1.5
1978,"Primo-député","Hommes",195,37.8640776699029,0,0,45.0153846153846,44,29.7090714369721,23.3333333333333,13.8461538461538,0,76.4102564102564,100,20.5128205128205,0,70.7692307692308,100,27.168641150716,20,100,100,5.86666666666667,5
1978,"Total","Femmes",21,100,100,100,47.4761904761905,48,32.5965147480729,21.875,0,0,38.0952380952381,0,52.3809523809524,100,71.4285714285714,100,32.5965147480729,21.875,66.6666666666667,100,7.71428571428571,5
1978,"Total","Hommes",515,100,0,0,51.3572815533981,53,46.5444341212008,44.8275862068966,14.7572815533981,0,74.368932038835,100,23.3009708737864,0,80.5825242718447,100,44.5161976020871,43.4782608695652,37.8640776699029,0,12.2504854368932,11
1997,"Ancien député","Femmes",23,31.5068493150685,100,100,54.4347826086956,55,57.9853919488585,56.6666666666667,26.0869565217391,0,60.8695652173913,100,21.7391304347826,0,91.304347826087,100,51.3246294657276,53.3333333333333,0,0,16.3913043478261,16
1997,"Ancien député","Hommes",381,65.5765920826162,0,0,55.0656167979003,54,66.3680259501964,68.4210526315789,23.3595800524934,0,80.0524934383202,100,12.0734908136483,0,98.1627296587927,100,63.949242188494,66.6666666666667,0,0,19.6614173228346,20
1997,"Primo-député","Femmes",50,68.4931506849315,100,100,48.58,49,43.4264576167073,44.9494949494949,24,0,66,100,22,0,78,100,35.068553298803,31.2777777777778,100,100,10.4,10
1997,"Primo-député","Hommes",200,34.4234079173838,0,0,48.705,49,53.0237926961014,52.9411764705882,24,0,69.5,100,22.5,0,93.5,100,49.3662736051113,50,100,100,12.295,13
