"legis.annee","tendance.pol","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Centre","Ancien député",74,22.6299694189602,0,0,53.3648648648649,54,54.9607447050228,58.4753787878788,20.2702702702703,0,89.1891891891892,100,8.10810810810811,0,86.4864864864865,100,52.5272381383642,57.3593073593074,0,0,15.0405405405405,14.5
1978,"Centre","Primo-député",65,31.1004784688995,3.07692307692308,0,47.2615384615385,48,31.9061833259384,24.2424242424242,20,0,87.6923076923077,100,10.7692307692308,0,70.7692307692308,100,28.9879911732635,21.7391304347826,100,100,7.03076923076923,5
1978,"COM/LFI","Ancien député",55,16.8195718654434,7.27272727272727,0,55.6545454545455,56,57.6266941608189,57.5757575757576,1.81818181818182,0,18.1818181818182,0,81.8181818181818,100,85.4545454545455,100,57.5715977420861,57.5757575757576,0,0,16.8181818181818,16
1978,"COM/LFI","Primo-député",33,15.7894736842105,27.2727272727273,0,43.3030303030303,43,20.9310500917359,14.2857142857143,3.03030303030303,0,27.2727272727273,0,66.6666666666667,100,66.6666666666667,100,20.065249225935,14.2857142857143,100,100,3.96969696969697,1
1978,"Droite","Ancien député",124,37.9204892966361,2.41935483870968,0,56.6290322580645,57,59.2632282748192,57.9796264855688,22.5806451612903,0,88.7096774193548,100,8.06451612903226,0,84.6774193548387,100,56.8261950559414,57.1428571428571,0,0,17.3790322580645,17
1978,"Droite","Primo-député",50,23.9234449760766,0,0,46.92,48,35.7573827711676,27.5,20,0,86,100,12,0,64,100,31.2763593793547,19.9110122358176,100,100,6.98,5
1978,"ECO/SOC/RAD","Ancien député",65,19.8776758409786,0,0,53.8461538461538,55,53.9211837596935,44,6.15384615384615,0,67.6923076923077,100,30.7692307692308,0,89.2307692307692,100,53.3783443004887,43.75,0,0,14.4769230769231,11
1978,"ECO/SOC/RAD","Primo-député",56,26.7942583732057,3.57142857142857,0,41.3214285714286,40,26.678203415519,22.4747474747474,5.35714285714286,0,75,100,21.4285714285714,0,80.3571428571429,100,25.7303673845549,19.0909090909091,100,100,4.39285714285714,2
1978,"Non-inscrits","Ancien député",9,2.75229357798165,0,0,56.7777777777778,56,52.9893921291771,60.6060606060606,11.1111111111111,0,88.8888888888889,100,11.1111111111111,0,88.8888888888889,100,49.8147889545739,46.4285714285714,0,0,15.7777777777778,19
1978,"Non-inscrits","Primo-député",5,2.39234449760766,20,0,48.4,49,8.29004329004327,3.57142857142857,0,0,40,0,40,0,60,100,8.29004329004327,3.57142857142857,100,100,2.4,1
1978,"Total","Ancien député",327,100,2.14067278287462,0,55.177370030581,56,56.7797708459846,57.5757575757576,14.9847094801223,0,72.782874617737,100,25.0764525993884,0,86.2385321100917,100,55.1003888841387,55.1724137931034,0,0,16.1345565749235,16
1978,"Total","Primo-député",209,100,6.69856459330144,0,44.9904306220096,44,29.1288292607222,22.7272727272727,12.9186602870813,0,73.2057416267943,100,23.444976076555,0,70.8133971291866,100,26.7585713381388,18.5185185185185,100,100,5.7177033492823,5
1997,"Centre","Ancien député",103,25.4950495049505,5.8252427184466,0,55.2135922330097,54,65.5304229747922,68.0851063829787,29.126213592233,0,89.3203883495146,100,4.85436893203883,0,95.1456310679612,100,62.4824382887417,66.6666666666667,0,0,19.6893203883495,20
1997,"Centre","Primo-député",20,8,10,0,45.65,44,56.549522201225,54.7008547008547,40,0,90,100,5,0,95,100,53.7656394173422,54.7008547008547,100,100,11.15,9.5
1997,"COM/LFI","Ancien député",21,5.1980198019802,14.2857142857143,0,57.6666666666667,56,66.430330930774,68.4210526315789,0,0,33.3333333333333,0,66.6666666666667,100,95.2380952380952,100,66.430330930774,68.4210526315789,0,0,21.2857142857143,20
1997,"COM/LFI","Primo-député",20,8,5,0,51.3,52.5,53.7871016322174,55.3376906318083,0,0,35,0,55,100,95,100,53.7871016322174,55.3376906318083,100,100,14.65,14
1997,"Droite","Ancien député",128,31.6831683168317,3.90625,0,54.8515625,54,63.6645709204051,64.1098484848485,30.46875,0,82.03125,100,7.03125,0,99.21875,100,60.0756948200678,60.2083333333333,0,0,18.4921875,16
1997,"Droite","Primo-député",29,11.6,13.7931034482759,0,50.1379310344828,50,45.273417145771,42.4242424242424,17.2413793103448,0,89.6551724137931,100,10.3448275862069,0,89.6551724137931,100,43.5597803932021,40.5405405405405,100,100,11.4827586206897,12
1997,"ECO/SOC/RAD","Ancien député",150,37.1287128712871,6,0,54.72,54,68.2096348075357,70,17.3333333333333,0,75.3333333333333,100,15.3333333333333,0,98.6666666666667,100,66.2000642287739,68.6291000841043,0,0,20,20
1997,"ECO/SOC/RAD","Primo-député",178,71.2,24.1573033707865,0,48.3370786516854,49,50.9459868434003,52.9411764705882,25.8426966292135,0,66.8539325842697,100,22.4719101123596,0,89.3258426966292,100,45.0962782208536,45.6439393939394,100,100,11.6292134831461,12.5
1997,"Non-inscrits","Ancien député",2,0.495049504950495,0,0,52.5,52.5,47.3505434782608,47.3505434782608,0,0,100,100,0,0,100,100,47.3505434782608,47.3505434782608,0,0,13,13
1997,"Non-inscrits","Primo-député",3,1.2,0,0,57.6666666666667,61,62.6780626780627,72.2222222222222,33.3333333333333,0,66.6666666666667,100,33.3333333333333,0,100,100,61.7521367521367,72.2222222222222,100,100,20,20
1997,"Total","Ancien député",404,100,5.69306930693069,0,55.029702970297,54,65.8907967867539,68.1334622823985,23.5148514851485,0,78.960396039604,100,12.6237623762376,0,97.7722772277228,100,63.2305142364553,65.2173913043478,0,0,19.4752475247525,20
1997,"Total","Primo-député",250,100,20,0,48.68,49,51.1043256802226,51.8518518518518,24,0,68.8,100,22.4,0,90.4,100,46.5067295438496,47.4424552429667,100,100,11.916,13
2007,"Centre","Ancien député",21,4.58515283842795,0,0,53.5714285714286,53,73.723893087388,73.3333333333333,28.5714285714286,0,85.7142857142857,100,0,0,95.2380952380952,100,71.1750909578406,73.3333333333333,0,0,20.2380952380952,18
2007,"Centre","Primo-député",5,2.76243093922652,20,0,56,61,66.7717717717718,66.6666666666667,20,0,40,0,20,0,100,100,61.7717717717718,66.6666666666667,100,100,18.6,13
2007,"COM/LFI","Ancien député",19,4.14847161572052,21.0526315789474,0,61.3157894736842,61,73.7346975059823,80,5.26315789473684,0,36.8421052631579,0,57.8947368421053,100,100,100,73.7346975059823,80,0,0,26.7894736842105,30
2007,"COM/LFI","Primo-député",7,3.86740331491713,28.5714285714286,0,51.8571428571429,56,73.1019006635705,75,14.2857142857143,0,0,0,85.7142857142857,100,100,100,68.3399959016657,70.9677419354839,100,100,18.7142857142857,18
2007,"Droite","Ancien député",281,61.353711790393,13.1672597864769,0,56.5444839857651,57,69.4066593448001,69.4444444444444,28.8256227758007,0,76.8683274021352,100,9.25266903914591,0,97.864768683274,100,65.8929627502004,66.6666666666667,0,0,21.5871886120996,22
2007,"Droite","Primo-député",88,48.6187845303867,23.8636363636364,0,48.9545454545455,48,54.5143541431759,52.0869565217392,26.1363636363636,0,70.4545454545455,100,7.95454545454545,0,90.9090909090909,100,49.1047229433388,48,100,100,13.0568181818182,12
2007,"ECO/SOC/RAD","Ancien député",132,28.82096069869,18.1818181818182,0,57.1818181818182,58,75.0049473745729,78.604118993135,37.8787878787879,0,65.9090909090909,100,15.9090909090909,0,98.4848484848485,100,69.8844495906798,70.5882352941177,0,0,23.8939393939394,24
